# Time-averaged data for fix rg
# TimeStep c_rg
0 3.17932
1000 3.1558
2000 3.16465
3000 3.30582
4000 3.30163
5000 3.27126
6000 3.11624
7000 3.15678
8000 3.22193
9000 3.17449
10000 3.14796
11000 3.1876
12000 3.24433
13000 3.3049
14000 3.24163
15000 3.1749
16000 3.1377
17000 3.13595
18000 3.10783
19000 3.14865
20000 3.19417
21000 3.17437
22000 3.07198
23000 3.12423
24000 3.10312
25000 3.19857
26000 3.11679
27000 3.1604
28000 3.13121
29000 3.12933
30000 3.28035
31000 3.19531
32000 3.22232
33000 3.17862
34000 3.12809
35000 3.09012
36000 3.03291
37000 3.00654
38000 2.9887
39000 3.051
40000 2.96497
41000 3.04812
42000 3.04143
43000 3.0269
44000 3.12801
45000 3.11422
46000 3.26757
47000 3.3251
48000 3.4626
49000 3.16939
50000 3.25243
51000 3.30394
52000 3.30163
53000 3.2706
54000 3.44616
55000 3.44939
56000 3.45848
57000 3.57909
58000 3.59604
59000 3.65288
60000 3.77927
61000 3.76852
62000 3.70171
63000 3.60338
64000 3.36989
65000 3.36253
66000 3.42619
67000 3.56862
68000 3.52329
69000 3.5174
70000 3.65981
71000 3.6657
72000 3.56255
73000 3.5112
74000 3.48833
75000 3.36097
76000 3.35716
77000 3.40982
78000 3.32653
79000 3.35462
80000 3.52072
81000 3.53049
82000 3.42335
83000 3.44451
84000 3.46848
85000 3.43922
86000 3.42552
87000 3.4556
88000 3.35721
89000 3.31172
90000 3.39191
91000 3.28722
92000 3.36009
93000 3.32995
94000 3.36737
95000 3.5215
96000 3.37225
97000 3.36806
98000 3.41029
99000 3.32631
100000 3.31947
101000 3.29268
102000 3.26341
103000 3.2578
104000 3.43241
105000 3.44888
106000 3.53093
107000 3.52114
108000 3.4409
109000 3.45433
110000 3.40557
111000 3.26458
112000 3.22982
113000 3.28328
114000 3.34027
115000 3.47092
116000 3.58167
117000 3.69573
118000 3.60569
119000 3.53352
120000 3.38293
121000 3.34528
122000 3.34857
123000 3.2925
124000 3.22857
125000 3.2024
126000 3.12113
127000 3.06834
128000 3.0691
129000 3.05287
130000 3.06548
131000 3.01114
132000 3.05112
133000 3.11125
134000 3.07643
135000 3.06377
136000 3.08982
137000 3.12441
138000 2.9903
139000 2.98736
140000 2.97169
141000 2.98662
142000 2.89255
143000 2.88793
144000 2.87929
145000 2.87406
146000 2.93652
147000 2.83117
148000 2.92762
149000 2.91644
150000 2.99238
151000 2.89384
152000 2.88765
153000 2.90845
154000 2.87153
155000 2.9342
156000 2.89492
157000 2.84686
158000 2.79352
159000 2.83744
160000 2.93172
161000 2.9712
162000 3.00414
163000 2.98442
164000 2.88905
165000 2.89912
166000 2.93224
167000 2.87889
168000 2.79649
169000 2.81242
170000 2.82507
171000 2.75249
172000 2.63921
173000 2.55515
174000 2.66862
175000 2.64679
176000 2.72941
177000 2.69705
178000 2.62288
179000 2.70283
180000 2.77041
181000 2.74102
182000 2.72936
183000 2.63683
184000 2.66839
185000 2.71715
186000 2.68121
187000 2.6642
188000 2.77375
189000 2.88708
190000 2.84866
191000 2.8278
192000 2.77934
193000 2.80892
194000 2.80873
195000 2.78879
196000 2.85846
197000 2.99606
198000 2.99842
199000 3.06401
200000 2.99376
