# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.757169 23.7572
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 53 3.04598e-06
5 0.9 16800 0.000965517
6 1.1 47122 0.00270816
7 1.3 56814 0.00326517
8 1.5 69703 0.00400592
9 1.7 88592 0.00509149
10 1.9 115170 0.00661897
11 2.1 151410 0.00870172
12 2.3 204385 0.0117463
13 2.5 284338 0.0163413
14 2.7 241822 0.0138978
15 2.9 211093 0.0121318
16 3.1 232492 0.0133616
17 3.3 250852 0.0144168
18 3.5 249134 0.014318
19 3.7 231468 0.0133028
20 3.9 237180 0.013631
21 4.1 244535 0.0140537
22 4.3 245225 0.0140934
23 4.5 239997 0.0137929
24 4.7 239670 0.0137741
25 4.9 243064 0.0139692
26 5.1 243362 0.0139863
27 5.3 241842 0.013899
28 5.5 240898 0.0138447
29 5.7 241882 0.0139013
30 5.9 242339 0.0139275
31 6.1 240556 0.0138251
32 6.3 239935 0.0137894
33 6.5 240876 0.0138434
34 6.7 240446 0.0138187
35 6.9 238985 0.0137348
36 7.1 237994 0.0136778
37 7.3 236904 0.0136152
38 7.5 236920 0.0136161
39 7.7 234678 0.0134872
40 7.9 234042 0.0134507
41 8.1 232105 0.0133394
42 8.3 229622 0.0131967
43 8.5 227695 0.0130859
44 8.7 227095 0.0130514
45 8.9 224761 0.0129173
46 9.1 223110 0.0128224
47 9.3 221305 0.0127187
48 9.5 220140 0.0126517
49 9.7 218514 0.0125583
50 9.9 217116 0.0124779
51 10.1 215576 0.0123894
52 10.3 214491 0.0123271
53 10.5 213359 0.012262
54 10.7 212734 0.0122261
55 10.9 211087 0.0121314
56 11.1 211195 0.0121376
57 11.3 209912 0.0120639
58 11.5 209727 0.0120533
59 11.7 209970 0.0120672
60 11.9 208794 0.0119997
61 12.1 207817 0.0119435
62 12.3 206491 0.0118673
63 12.5 206429 0.0118637
64 12.7 204842 0.0117725
65 12.9 204454 0.0117502
66 13.1 202778 0.0116539
67 13.3 201069 0.0115557
68 13.5 199607 0.0114717
69 13.7 197417 0.0113458
70 13.9 193012 0.0110926
71 14.1 192752 0.0110777
72 14.3 189433 0.010887
73 14.5 185867 0.010682
74 14.7 180983 0.0104013
75 14.9 179477 0.0103148
76 15.1 175757 0.010101
77 15.3 171342 0.00984724
78 15.5 166390 0.00956264
79 15.7 162279 0.00932638
80 15.9 158624 0.00911632
81 16.1 152177 0.0087458
82 16.3 146585 0.00842443
83 16.5 141441 0.00812879
84 16.7 135950 0.00781322
85 16.9 128469 0.00738328
86 17.1 121708 0.00699471
87 17.3 114446 0.00657736
88 17.5 106594 0.00612609
89 17.7 98481 0.00565983
90 17.9 90548 0.00520391
91 18.1 81388 0.00467747
92 18.3 73153 0.0042042
93 18.5 64825 0.00372557
94 18.7 56950 0.00327299
95 18.9 48960 0.00281379
96 19.1 41770 0.00240057
97 19.3 34945 0.00200833
98 19.5 28584 0.00164276
99 19.7 23254 0.00133644
100 19.9 18439 0.00105971
101 20.1 14539 0.000835575
102 20.3 10965 0.000630172
103 20.5 8347 0.000479713
104 20.7 6145 0.000353161
105 20.9 4318 0.000248161
106 21.1 3118 0.000179195
107 21.3 2120 0.000121839
108 21.5 1452 8.34483e-05
109 21.7 979 5.62644e-05
110 21.9 641 3.68391e-05
111 22.1 410 2.35632e-05
112 22.3 263 1.51149e-05
113 22.5 151 8.67816e-06
114 22.7 86 4.94253e-06
115 22.9 37 2.12644e-06
116 23.1 31 1.78161e-06
117 23.3 15 8.62069e-07
118 23.5 8 4.5977e-07
119 23.7 2 1.14943e-07
120 23.9 0 0
121 24.1 0 0
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
