# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.746594 23.8006
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 81 4.65517e-06
5 0.9 17181 0.000987414
6 1.1 47645 0.00273822
7 1.3 57687 0.00331534
8 1.5 70055 0.00402615
9 1.7 88945 0.00511178
10 1.9 117217 0.00673661
11 2.1 152394 0.00875828
12 2.3 204912 0.0117766
13 2.5 284616 0.0163572
14 2.7 242258 0.0139229
15 2.9 212393 0.0122065
16 3.1 232579 0.0133666
17 3.3 249995 0.0143675
18 3.5 248164 0.0142623
19 3.7 232040 0.0133356
20 3.9 237942 0.0136748
21 4.1 243451 0.0139914
22 4.3 244017 0.014024
23 4.5 239342 0.0137553
24 4.7 238562 0.0137105
25 4.9 242345 0.0139279
26 5.1 242076 0.0139124
27 5.3 240822 0.0138403
28 5.5 239185 0.0137463
29 5.7 241048 0.0138533
30 5.9 240539 0.0138241
31 6.1 239412 0.0137593
32 6.3 239335 0.0137549
33 6.5 238955 0.013733
34 6.7 238042 0.0136806
35 6.9 238041 0.0136805
36 7.1 236921 0.0136161
37 7.3 237485 0.0136486
38 7.5 236261 0.0135782
39 7.7 235606 0.0135406
40 7.9 234617 0.0134837
41 8.1 235007 0.0135061
42 8.3 233236 0.0134044
43 8.5 232554 0.0133652
44 8.7 232372 0.0133547
45 8.9 232043 0.0133358
46 9.1 231071 0.0132799
47 9.3 230268 0.0132338
48 9.5 230049 0.0132212
49 9.7 228266 0.0131187
50 9.9 227608 0.0130809
51 10.1 227318 0.0130643
52 10.3 225380 0.0129529
53 10.5 225336 0.0129503
54 10.7 223452 0.0128421
55 10.9 222484 0.0127864
56 11.1 221393 0.0127237
57 11.3 220771 0.012688
58 11.5 218027 0.0125303
59 11.7 217038 0.0124734
60 11.9 216190 0.0124247
61 12.1 214185 0.0123095
62 12.3 212392 0.0122064
63 12.5 210175 0.012079
64 12.7 208780 0.0119989
65 12.9 207508 0.0119257
66 13.1 204290 0.0117408
67 13.3 201960 0.0116069
68 13.5 200115 0.0115009
69 13.7 196740 0.0113069
70 13.9 193629 0.0111281
71 14.1 190891 0.0109707
72 14.3 185923 0.0106852
73 14.5 182841 0.0105081
74 14.7 178098 0.0102355
75 14.9 173498 0.00997115
76 15.1 168555 0.00968707
77 15.3 164023 0.00942661
78 15.5 159085 0.00914282
79 15.7 153859 0.00884247
80 15.9 148815 0.00855259
81 16.1 143573 0.00825132
82 16.3 137877 0.00792397
83 16.5 131236 0.0075423
84 16.7 125906 0.00723598
85 16.9 118984 0.00683816
86 17.1 112151 0.00644546
87 17.3 105775 0.00607902
88 17.5 98400 0.00565517
89 17.7 90709 0.00521316
90 17.9 83142 0.00477828
91 18.1 75105 0.00431638
92 18.3 67123 0.00385764
93 18.5 60125 0.00345546
94 18.7 52235 0.00300201
95 18.9 44775 0.00257328
96 19.1 38129 0.00219132
97 19.3 32124 0.00184621
98 19.5 26216 0.00150667
99 19.7 21446 0.00123253
100 19.9 17156 0.000985977
101 20.1 13501 0.00077592
102 20.3 10297 0.000591782
103 20.5 7748 0.000445287
104 20.7 5785 0.000332471
105 20.9 4050 0.000232759
106 21.1 3006 0.000172759
107 21.3 2069 0.000118908
108 21.5 1433 8.23563e-05
109 21.7 891 5.12069e-05
110 21.9 621 3.56897e-05
111 22.1 391 2.24713e-05
112 22.3 265 1.52299e-05
113 22.5 154 8.85057e-06
114 22.7 110 6.32184e-06
115 22.9 42 2.41379e-06
116 23.1 30 1.72414e-06
117 23.3 12 6.89655e-07
118 23.5 10 5.74713e-07
119 23.7 6 3.44828e-07
120 23.9 1 5.74713e-08
121 24.1 0 0
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
