# Time-averaged data for fix 4
# TimeStep c_1 v_dist v_fz
0 16.9968 0.996789 4.98394
1000 16.6581 0.65806 3.2903
2000 16.838 0.837999 4.18999
3000 16.971 0.970966 4.85483
4000 16.5165 0.516535 2.58268
5000 17.2703 1.27028 6.35141
6000 16.9218 0.921798 4.60899
7000 16.1209 0.120866 0.604332
8000 16.1929 0.192949 0.964746
9000 16.1612 0.161211 0.806056
10000 15.9049 -0.0950556 -0.475278
11000 16.1595 0.159528 0.79764
12000 16.0568 0.0567634 0.283817
13000 16.3325 0.33252 1.6626
14000 16.5398 0.539843 2.69921
15000 17.1663 1.16628 5.83141
16000 16.6109 0.610883 3.05441
17000 17.1765 1.17652 5.8826
18000 16.5902 0.590199 2.95099
19000 16.3664 0.366409 1.83205
20000 17.2412 1.2412 6.20598
21000 16.7985 0.798485 3.99243
22000 17.1085 1.1085 5.54252
23000 17.994 1.99398 9.96988
24000 17.0205 1.02051 5.10254
25000 16.4883 0.488309 2.44155
26000 17.2935 1.29353 6.46765
27000 16.9381 0.938082 4.69041
28000 16.4749 0.474899 2.3745
29000 16.3327 0.332667 1.66334
30000 16.9621 0.962132 4.81066
31000 17.118 1.118 5.59001
32000 16.8507 0.85069 4.25345
33000 16.0929 0.0928756 0.464378
34000 17.2724 1.27243 6.36215
35000 17.1456 1.14559 5.72797
36000 17.2948 1.29481 6.47403
37000 16.5763 0.576251 2.88125
38000 16.0654 0.0654357 0.327178
39000 16.3535 0.3535 1.7675
40000 15.9751 -0.0248907 -0.124454
41000 16.8082 0.808209 4.04105
42000 17.0294 1.0294 5.147
43000 16.3883 0.388339 1.94169
44000 16.2165 0.216516 1.08258
45000 16.3254 0.325382 1.62691
46000 16.5991 0.599055 2.99527
47000 16.8554 0.855447 4.27723
48000 16.8268 0.826838 4.13419
49000 16.8031 0.803075 4.01537
50000 16.647 0.646976 3.23488
51000 17.593 1.59298 7.96492
52000 17.0387 1.0387 5.19348
53000 16.9935 0.993502 4.96751
54000 17.3914 1.39136 6.95678
55000 16.4393 0.439286 2.19643
56000 16.7172 0.717203 3.58602
57000 16.3975 0.397544 1.98772
58000 17.1729 1.17288 5.86441
59000 18.3153 2.31533 11.5766
60000 16.4118 0.411785 2.05893
61000 16.667 0.667006 3.33503
62000 16.9702 0.970244 4.85122
63000 17.4906 1.49062 7.45309
64000 16.4216 0.421636 2.10818
65000 17.3258 1.3258 6.62899
66000 18.0087 2.00868 10.0434
67000 17.4176 1.41758 7.08788
68000 16.8902 0.890158 4.45079
69000 17.7784 1.77835 8.89176
70000 17.6556 1.65556 8.27778
71000 16.6324 0.632356 3.16178
72000 16.2109 0.210928 1.05464
73000 16.9671 0.967138 4.83569
74000 17.1864 1.18638 5.93191
75000 17.0311 1.03109 5.15546
76000 17.2568 1.25683 6.28416
77000 17.1349 1.13492 5.67458
78000 16.5679 0.56791 2.83955
79000 16.1896 0.189582 0.947909
80000 17.069 1.069 5.34502
81000 17.4456 1.44563 7.22816
82000 17.1504 1.15035 5.75176
83000 17.1993 1.19928 5.99641
84000 17.156 1.15596 5.77979
85000 17.305 1.30505 6.52523
86000 17.1272 1.12723 5.63614
87000 17.5034 1.50343 7.51716
88000 16.919 0.918986 4.59493
89000 17.3675 1.36749 6.83744
90000 17.3486 1.34856 6.74282
91000 17.3523 1.35226 6.76131
92000 17.5008 1.50079 7.50397
93000 17.6851 1.68513 8.42565
94000 17.1009 1.1009 5.50449
95000 16.6457 0.645659 3.22829
96000 16.3859 0.38594 1.9297
97000 17.3323 1.33233 6.66164
98000 16.9657 0.96567 4.82835
99000 17.1346 1.13457 5.67286
100000 17.5527 1.55269 7.76345
101000 16.7184 0.718431 3.59216
102000 16.5022 0.502193 2.51096
103000 17.1919 1.19193 5.95965
104000 16.2134 0.213354 1.06677
