# Time-averaged data for fix 4
# TimeStep c_1 v_dist v_fz
0 15.589 0.589047 2.94523
1000 15.7252 0.725198 3.62599
2000 15.932 0.932008 4.66004
3000 16.2113 1.21127 6.05634
4000 15.7556 0.755629 3.77814
5000 15.5024 0.50243 2.51215
6000 15.7168 0.716751 3.58376
7000 15.6795 0.679508 3.39754
8000 16.1572 1.15725 5.78624
9000 15.7455 0.745469 3.72735
10000 15.8676 0.867614 4.33807
11000 15.2132 0.213187 1.06593
12000 15.5266 0.526605 2.63302
13000 16.4625 1.46247 7.31237
14000 16.2837 1.28375 6.41874
15000 15.4356 0.435553 2.17776
16000 14.9394 -0.0605699 -0.302849
17000 15.1013 0.101337 0.506684
18000 15.8023 0.802339 4.01169
19000 15.332 0.331952 1.65976
20000 15.8415 0.841545 4.20772
21000 16.5554 1.55541 7.77703
22000 16.0172 1.01716 5.08579
23000 16.5632 1.56324 7.81622
24000 15.4746 0.474649 2.37325
25000 15.6876 0.687592 3.43796
26000 15.6882 0.688151 3.44075
27000 15.1577 0.157733 0.788664
28000 16.4118 1.41179 7.05895
29000 16.2171 1.21706 6.08528
30000 16.6426 1.64257 8.21286
31000 15.9399 0.93985 4.69925
32000 16.4908 1.49085 7.45424
33000 16.2346 1.23456 6.17281
34000 17.013 2.01299 10.0649
35000 16.4506 1.45058 7.2529
36000 16.3355 1.33552 6.67762
37000 16.9843 1.98431 9.92157
38000 16.3972 1.39723 6.98617
39000 16.9376 1.93761 9.68806
40000 16.7476 1.74761 8.73804
41000 16.5633 1.56327 7.81635
42000 16.7093 1.70927 8.54634
43000 16.4673 1.46728 7.33642
44000 16.2183 1.2183 6.09152
45000 16.3511 1.35111 6.75556
46000 15.7292 0.729153 3.64576
47000 15.5621 0.562135 2.81067
48000 16.1949 1.19495 5.97474
49000 16.701 1.70098 8.50488
50000 15.6607 0.660726 3.30363
51000 15.7831 0.783142 3.91571
52000 15.5947 0.594744 2.97372
53000 15.35 0.35002 1.7501
54000 15.4617 0.461748 2.30874
55000 15.3799 0.379948 1.89974
56000 14.9879 -0.0120628 -0.0603139
