# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.747727 24.7377
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 50 2.87356e-06
5 0.9 16938 0.000973448
6 1.1 46977 0.00269983
7 1.3 56829 0.00326603
8 1.5 69475 0.00399282
9 1.7 88222 0.00507023
10 1.9 115974 0.00666517
11 2.1 151690 0.00871782
12 2.3 202833 0.0116571
13 2.5 283873 0.0163145
14 2.7 242016 0.013909
15 2.9 210746 0.0121118
16 3.1 231260 0.0132908
17 3.3 249770 0.0143546
18 3.5 248349 0.0142729
19 3.7 230176 0.0132285
20 3.9 236425 0.0135876
21 4.1 242615 0.0139434
22 4.3 243075 0.0139698
23 4.5 238479 0.0137057
24 4.7 238511 0.0137075
25 4.9 240782 0.013838
26 5.1 240539 0.0138241
27 5.3 239950 0.0137902
28 5.5 239138 0.0137436
29 5.7 239199 0.0137471
30 5.9 239385 0.0137578
31 6.1 238630 0.0137144
32 6.3 238692 0.0137179
33 6.5 238334 0.0136974
34 6.7 237757 0.0136642
35 6.9 237303 0.0136381
36 7.1 237558 0.0136528
37 7.3 236900 0.0136149
38 7.5 236205 0.013575
39 7.7 236464 0.0135899
40 7.9 234945 0.0135026
41 8.1 235416 0.0135297
42 8.3 233672 0.0134294
43 8.5 233920 0.0134437
44 8.7 232986 0.01339
45 8.9 232213 0.0133456
46 9.1 230942 0.0132725
47 9.3 230735 0.0132606
48 9.5 229491 0.0131891
49 9.7 229071 0.013165
50 9.9 228261 0.0131184
51 10.1 226464 0.0130152
52 10.3 225965 0.0129865
53 10.5 223875 0.0128664
54 10.7 224376 0.0128952
55 10.9 222006 0.012759
56 11.1 221245 0.0127152
57 11.3 220476 0.012671
58 11.5 218423 0.012553
59 11.7 217222 0.012484
60 11.9 216276 0.0124297
61 12.1 213460 0.0122678
62 12.3 212220 0.0121966
63 12.5 210591 0.0121029
64 12.7 208900 0.0120057
65 12.9 206211 0.0118512
66 13.1 204210 0.0117362
67 13.3 202225 0.0116221
68 13.5 198851 0.0114282
69 13.7 195840 0.0112552
70 13.9 194387 0.0111717
71 14.1 190558 0.0109516
72 14.3 188058 0.0108079
73 14.5 184457 0.010601
74 14.7 181397 0.0104251
75 14.9 177201 0.010184
76 15.1 173017 0.00994351
77 15.3 168356 0.00967563
78 15.5 162575 0.00934339
79 15.7 157610 0.00905805
80 15.9 151648 0.0087154
81 16.1 146191 0.00840178
82 16.3 139422 0.00801276
83 16.5 132823 0.00763351
84 16.7 126175 0.00725144
85 16.9 119878 0.00688954
86 17.1 112618 0.0064723
87 17.3 104650 0.00601437
88 17.5 97832 0.00562253
89 17.7 90353 0.0051927
90 17.9 81524 0.00468529
91 18.1 74208 0.00426483
92 18.3 66497 0.00382167
93 18.5 59093 0.00339615
94 18.7 51650 0.00296839
95 18.9 43701 0.00251155
96 19.1 37583 0.00215994
97 19.3 31575 0.00181466
98 19.5 25990 0.00149368
99 19.7 20771 0.00119374
100 19.9 16681 0.000958678
101 20.1 13224 0.00076
102 20.3 10103 0.000580632
103 20.5 7573 0.00043523
104 20.7 5734 0.00032954
105 20.9 4128 0.000237241
106 21.1 2932 0.000168506
107 21.3 2102 0.000120805
108 21.5 1420 8.16092e-05
109 21.7 985 5.66092e-05
110 21.9 643 3.6954e-05
111 22.1 410 2.35632e-05
112 22.3 256 1.47126e-05
113 22.5 163 9.36782e-06
114 22.7 108 6.2069e-06
115 22.9 62 3.56322e-06
116 23.1 29 1.66667e-06
117 23.3 26 1.49425e-06
118 23.5 8 4.5977e-07
119 23.7 4 2.29885e-07
120 23.9 2 1.14943e-07
121 24.1 1 5.74713e-08
122 24.3 0 0
123 24.5 0 0
124 24.7 1 5.74713e-08
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
