# Time-averaged data for fix rg
# TimeStep c_rg
0 2.23326
1000 2.22222
2000 2.22865
3000 2.23758
4000 2.21582
5000 2.23864
6000 2.12351
7000 2.14216
8000 2.08459
9000 2.06853
10000 2.08473
11000 2.15916
12000 2.18253
13000 2.21482
14000 2.13856
15000 2.11554
16000 2.10757
17000 2.13876
18000 2.16522
19000 2.10033
20000 2.07974
21000 2.05643
22000 2.10354
23000 2.16714
24000 2.16899
25000 2.17645
26000 2.12981
27000 2.09881
28000 2.16145
29000 2.24398
30000 2.20448
31000 2.17145
32000 2.16758
33000 2.15657
34000 2.16313
35000 2.12979
36000 2.11573
37000 2.14293
38000 2.09356
39000 2.1374
40000 2.18638
41000 2.21789
42000 2.22563
43000 2.16321
44000 2.25061
45000 2.33886
46000 2.36131
47000 2.34625
48000 2.32776
49000 2.39751
50000 2.32443
51000 2.37922
52000 2.26796
53000 2.29008
54000 2.21983
55000 2.23629
56000 2.35532
57000 2.33865
58000 2.25171
59000 2.16045
60000 2.10058
61000 2.14974
62000 2.16266
63000 2.27132
64000 2.28857
65000 2.28926
66000 2.32949
67000 2.23213
68000 2.28097
69000 2.26288
70000 2.29228
71000 2.24016
72000 2.2642
73000 2.28098
74000 2.28753
75000 2.19511
76000 2.18952
77000 2.16333
78000 2.19622
79000 2.20871
80000 2.2751
81000 2.29448
82000 2.29002
83000 2.23859
84000 2.1728
85000 2.24607
86000 2.25814
87000 2.16984
88000 2.20063
89000 2.22724
90000 2.13062
91000 2.19008
92000 2.25994
93000 2.29734
94000 2.25553
95000 2.29491
96000 2.2693
97000 2.21418
98000 2.15919
99000 2.26949
100000 2.171
101000 2.18827
102000 2.13389
103000 2.12295
104000 2.11502
105000 2.11702
106000 2.06966
107000 2.10196
108000 2.0764
109000 2.10148
110000 2.02089
111000 2.08597
112000 2.10994
113000 2.12352
114000 2.13517
115000 2.18942
116000 2.14167
117000 2.14362
118000 2.10066
119000 2.24309
120000 2.24179
121000 2.2308
122000 2.27397
123000 2.29987
124000 2.2769
125000 2.32256
126000 2.3546
127000 2.30583
128000 2.32883
129000 2.25484
130000 2.29849
131000 2.3163
132000 2.32792
133000 2.30565
134000 2.26133
135000 2.25575
136000 2.25006
137000 2.33575
138000 2.39025
139000 2.3269
140000 2.34972
141000 2.33705
142000 2.26853
143000 2.22839
144000 2.21992
145000 2.26313
146000 2.30565
147000 2.35625
148000 2.30423
149000 2.21407
150000 2.17942
151000 2.11552
152000 2.14262
153000 2.19895
154000 2.19905
155000 2.26739
156000 2.34679
157000 2.34119
158000 2.3573
159000 2.31009
160000 2.29561
161000 2.2545
162000 2.35353
163000 2.3728
164000 2.29454
165000 2.19989
166000 2.19761
167000 2.28484
168000 2.28859
169000 2.36898
170000 2.30391
171000 2.33125
172000 2.32673
173000 2.34016
174000 2.30326
175000 2.23164
176000 2.14375
177000 2.21051
178000 2.20137
179000 2.2418
180000 2.25777
181000 2.31612
182000 2.35448
183000 2.33687
184000 2.30869
185000 2.4108
186000 2.42265
187000 2.51595
188000 2.49181
189000 2.45256
190000 2.45179
191000 2.57125
192000 2.57448
193000 2.61054
194000 2.57746
195000 2.55535
196000 2.46034
197000 2.46816
198000 2.57594
199000 2.49257
200000 2.47982
