# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.748296 24.0277
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 43 2.47126e-06
5 0.9 16015 0.000920402
6 1.1 44438 0.00255391
7 1.3 54448 0.0031292
8 1.5 67548 0.00388207
9 1.7 86382 0.00496448
10 1.9 114742 0.00659437
11 2.1 149558 0.00859529
12 2.3 202892 0.0116605
13 2.5 282866 0.0162567
14 2.7 240792 0.0138386
15 2.9 209432 0.0120363
16 3.1 231246 0.01329
17 3.3 248431 0.0142776
18 3.5 246888 0.014189
19 3.7 229044 0.0131634
20 3.9 236132 0.0135708
21 4.1 242541 0.0139391
22 4.3 242124 0.0139152
23 4.5 236504 0.0135922
24 4.7 237337 0.0136401
25 4.9 240550 0.0138247
26 5.1 241686 0.01389
27 5.3 239898 0.0137872
28 5.5 238680 0.0137172
29 5.7 239700 0.0137759
30 5.9 239767 0.0137797
31 6.1 239154 0.0137445
32 6.3 238149 0.0136867
33 6.5 237759 0.0136643
34 6.7 237773 0.0136651
35 6.9 236842 0.0136116
36 7.1 237061 0.0136242
37 7.3 236020 0.0135644
38 7.5 235358 0.0135263
39 7.7 234316 0.0134664
40 7.9 233387 0.013413
41 8.1 232693 0.0133732
42 8.3 232723 0.0133749
43 8.5 232094 0.0133387
44 8.7 230373 0.0132398
45 8.9 231132 0.0132834
46 9.1 229279 0.013177
47 9.3 229032 0.0131628
48 9.5 227037 0.0130481
49 9.7 227399 0.0130689
50 9.9 226001 0.0129886
51 10.1 224841 0.0129219
52 10.3 224361 0.0128943
53 10.5 222774 0.0128031
54 10.7 221959 0.0127563
55 10.9 220601 0.0126782
56 11.1 219864 0.0126359
57 11.3 217916 0.0125239
58 11.5 216197 0.0124251
59 11.7 215410 0.0123799
60 11.9 213709 0.0122821
61 12.1 211284 0.0121428
62 12.3 209527 0.0120418
63 12.5 208707 0.0119947
64 12.7 206660 0.011877
65 12.9 204367 0.0117452
66 13.1 202721 0.0116506
67 13.3 200606 0.0115291
68 13.5 198476 0.0114067
69 13.7 194773 0.0111939
70 13.9 193308 0.0111097
71 14.1 190648 0.0109568
72 14.3 187199 0.0107586
73 14.5 184000 0.0105747
74 14.7 180847 0.0103935
75 14.9 177658 0.0102102
76 15.1 173509 0.00997178
77 15.3 168266 0.00967046
78 15.5 165509 0.00951201
79 15.7 160245 0.00920948
80 15.9 155491 0.00893626
81 16.1 150195 0.0086319
82 16.3 144293 0.0082927
83 16.5 138305 0.00794856
84 16.7 131897 0.00758029
85 16.9 125788 0.0072292
86 17.1 117753 0.00676741
87 17.3 110975 0.00637787
88 17.5 103215 0.0059319
89 17.7 95108 0.00546598
90 17.9 87062 0.00500356
91 18.1 78822 0.00453
92 18.3 70543 0.0040542
93 18.5 62196 0.00357448
94 18.7 53827 0.00309351
95 18.9 46548 0.00267517
96 19.1 39603 0.00227603
97 19.3 32831 0.00188684
98 19.5 26866 0.00154402
99 19.7 21765 0.00125086
100 19.9 17374 0.000998506
101 20.1 13546 0.000778506
102 20.3 10318 0.000592989
103 20.5 7785 0.000447414
104 20.7 5821 0.00033454
105 20.9 4064 0.000233563
106 21.1 2993 0.000172011
107 21.3 1988 0.000114253
108 21.5 1334 7.66667e-05
109 21.7 967 5.55747e-05
110 21.9 612 3.51724e-05
111 22.1 378 2.17241e-05
112 22.3 225 1.2931e-05
113 22.5 141 8.10345e-06
114 22.7 71 4.08046e-06
115 22.9 47 2.70115e-06
116 23.1 21 1.2069e-06
117 23.3 10 5.74713e-07
118 23.5 6 3.44828e-07
119 23.7 6 3.44828e-07
120 23.9 1 5.74713e-08
121 24.1 1 5.74713e-08
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
