ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
34 1 1 94.5534 2.2932 7.45084 
35 1 1 93.541 2.28685 7.62203 
36 1 1 92.959 1.57207 7.43843 
37 1 1 92.3949 2.30373 7.7043 
38 1 1 91.5742 1.91604 7.93482 
39 1 1 92.3182 1.45992 8.37406 
40 1 1 92.0876 1.50968 9.29443 
41 1 1 92.0427 2.47388 9.16706 
42 1 1 92.3647 3.29886 9.80838 
43 1 1 91.4676 3.66007 9.77439 
44 1 1 91.4972 3.95048 8.77974 
45 1 1 91.9693 4.76456 9.09597 
46 1 1 92.2483 5.41293 8.37496 
47 1 1 92.4311 6.29425 7.91196 
48 1 1 93.4616 6.3478 8.28346 
49 1 1 93.7228 7.35831 8.45896 
50 1 1 93.6259 7.33668 7.42754 
51 1 1 94.3924 7.57711 6.9722 
52 1 1 94.4293 8.00233 6.0752 
53 1 1 94.2205 8.62796 6.75502 
54 1 1 94.64 9.28065 6.21527 
55 1 1 94.4579 9.54452 5.32479 
56 1 1 95.0139 9.36279 4.535 
57 1 1 95.5672 10.0814 4.21096 
58 1 1 95.8119 10.6677 4.94041 
59 1 1 95.3113 11.2055 4.39043 
60 1 1 95.3122 11.4245 3.46383 
61 1 1 95.5314 12.3376 2.84885 
62 1 1 94.933 11.9135 2.19981 
63 1 1 95.0247 10.9668 1.94956 
64 1 1 95.9047 11.4497 2.11169 
65 1 1 96.5426 12.1544 2.04294 
66 1 1 97.3996 12.6848 2.02326 
67 1 1 98.1468 13.1748 1.57669 
68 1 1 98.2471 12.4834 0.900457 
69 1 1 97.941 11.5446 0.633232 
70 1 1 97.5163 10.7001 0.778028 
71 1 1 98.0404 10.6282 99.9669 
72 1 1 97.4963 11.0218 99.1022 
73 1 1 97.079 11.4489 98.4085 
74 1 1 96.6901 10.4898 98.3803 
75 1 1 97.1373 10.3112 97.5865 
76 1 1 96.256 10.2306 97.2406 
77 1 1 95.3998 10.2158 97.6467 
78 1 1 95.1645 11.0831 97.9207 
79 1 1 94.443 11.6865 98.0738 
80 1 1 94.0125 10.8448 98.3703 
81 1 1 93.9008 11.5737 99.04 
82 1 1 93.0219 11.7474 99.3461 
83 1 1 92.1827 12.307 99.1134 
84 1 1 92.3087 12.1811 0.0176454 
85 1 1 91.4609 11.7755 99.8885 
86 1 1 92.0554 11.1213 99.3633 
87 1 1 91.7144 10.3266 99.8244 
88 1 1 90.8564 10.2979 0.297837 
89 1 1 90.9907 10.7662 1.10235 
90 1 1 90.0284 11.0661 1.15429 
91 1 1 89.4838 10.7171 2.03362 
92 1 1 88.5142 10.6859 2.16866 
93 1 1 87.9152 11.4014 2.14183 
94 1 1 87.6692 12.2292 2.52376 
95 1 1 88.342 12.6775 2.04485 
96 1 1 88.9953 13.2049 1.67831 
97 1 1 89.2994 13.9537 2.19736 
98 1 1 88.987 14.7266 1.72581 
99 1 1 88.8455 14.6298 0.74856 
100 1 1 88.2318 14.7747 99.966 
ITEM: TIMESTEP
20000
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
1 1 1 93.7899 1.64452 94.2079 
2 1 1 92.8785 1.91287 94.4767 
3 1 1 92.0251 2.21618 94.6371 
4 1 1 92.2272 2.88489 93.9078 
5 1 1 93.1762 3.09107 93.7407 
6 1 1 93.4224 3.73776 94.3033 
7 1 1 93.5493 4.34806 95.0271 
8 1 1 94.2619 5.04359 95.2765 
9 1 1 94.6633 4.62019 96.0771 
10 1 1 93.9336 4.06481 96.1405 
11 1 1 92.8916 4.06425 96.0374 
12 1 1 92.2965 4.19979 96.7947 
13 1 1 92.2426 3.33604 97.367 
14 1 1 93.1258 2.95941 97.4114 
15 1 1 93.8451 3.59425 97.477 
16 1 1 94.3089 3.75877 98.3215 
17 1 1 94.2509 2.77938 98.2854 
18 1 1 95.1842 2.99151 98.5368 
19 1 1 94.8296 2.53718 99.4455 
20 1 1 94.9903 1.52292 99.4435 
21 1 1 94.9541 0.72092 0.0330625 
22 1 1 94.24 0.763189 0.78727 
23 1 1 94.0387 1.64664 1.10926 
24 1 1 94.4119 2.39759 1.53963 
25 1 1 94.5415 3.32088 1.25596 
26 1 1 93.8527 3.95337 1.49918 
27 1 1 93.7286 3.92382 2.43205 
28 1 1 93.6226 2.94441 2.40781 
29 1 1 92.7603 3.09738 2.76712 
30 1 1 91.9101 2.55482 2.66966 
31 1 1 91.8765 1.6859 3.06416 
32 1 1 91.0707 1.4793 3.56752 
33 1 1 90.2606 1.63771 3.00719 
34 1 1 90.1167 1.37521 3.92902 
35 1 1 89.9398 2.2114 4.29067 
36 1 1 90.0361 3.14478 4.64123 
37 1 1 90.8904 3.08922 5.0804 
38 1 1 91.0977 3.49374 5.94835 
39 1 1 92.0634 3.42524 5.69574 
40 1 1 91.8368 3.77179 6.66381 
41 1 1 91.6933 3.25745 7.39218 
42 1 1 91.6151 3.52262 8.2587 
