# bin-nr bin-center(r) g(r)
184.000000 18.450000 4.050541
185.000000 18.550000 3.466616
186.000000 18.650000 3.551862
187.000000 18.750000 3.191355
188.000000 18.850000 3.201933
189.000000 18.950000 2.935658
190.000000 19.050000 3.061237
191.000000 19.150000 2.762938
192.000000 19.250000 2.768326
193.000000 19.350000 2.727162
194.000000 19.450000 2.474258
195.000000 19.550000 2.444888
196.000000 19.650000 2.354770
197.000000 19.750000 2.185551
198.000000 19.850000 2.155587
199.000000 19.950000 2.256768
200.000000 20.050000 2.034401
201.000000 20.150000 1.831849
202.000000 20.250000 1.917557
203.000000 20.350000 1.929199
204.000000 20.450000 1.706905
205.000000 20.550000 1.813471
206.000000 20.650000 1.485538
207.000000 20.750000 1.610328
208.000000 20.850000 1.616667
209.000000 20.950000 1.475610
210.000000 21.050000 1.330042
211.000000 21.150000 1.352722
212.000000 21.250000 1.217883
213.000000 21.350000 1.241071
214.000000 21.450000 1.208977
215.000000 21.550000 1.119740
216.000000 21.650000 0.988393
217.000000 21.750000 0.999311
218.000000 21.850000 0.963780
219.000000 21.950000 0.925583
220.000000 22.050000 0.901002
221.000000 22.150000 0.908944
222.000000 22.250000 0.862596
223.000000 22.350000 0.801266
224.000000 22.450000 0.759752
225.000000 22.550000 0.684853
226.000000 22.650000 0.724893
227.000000 22.750000 0.776382
228.000000 22.850000 0.694150
229.000000 22.950000 0.634262
230.000000 23.050000 0.705884
231.000000 23.150000 0.549842
232.000000 23.250000 0.650065
233.000000 23.350000 0.560694
234.000000 23.450000 0.538729
235.000000 23.550000 0.548370
236.000000 23.650000 0.538108
237.000000 23.750000 0.438602
238.000000 23.850000 0.404459
239.000000 23.950000 0.439549
240.000000 24.050000 0.468594
241.000000 24.150000 0.410684
242.000000 24.250000 0.418022
243.000000 24.350000 0.388019
244.000000 24.450000 0.408575
245.000000 24.550000 0.345119
246.000000 24.650000 0.347511
247.000000 24.750000 0.313839
248.000000 24.850000 0.316422
249.000000 24.950000 0.270857
250.000000 25.050000 0.223498
251.000000 25.150000 0.256602
252.000000 25.250000 0.259516
253.000000 25.350000 0.269734
254.000000 25.450000 0.214094
255.000000 25.550000 0.190697
256.000000 25.650000 0.210769
257.000000 25.750000 0.147345
258.000000 25.850000 0.174505
259.000000 25.950000 0.147423
260.000000 26.050000 0.167192
261.000000 26.150000 0.182046
262.000000 26.250000 0.144072
263.000000 26.350000 0.154328
264.000000 26.450000 0.101358
265.000000 26.550000 0.118480
266.000000 26.650000 0.090968
267.000000 26.750000 0.123321
268.000000 26.850000 0.120219
269.000000 26.950000 0.136685
270.000000 27.050000 0.073222
271.000000 27.150000 0.128265
272.000000 27.250000 0.061541
273.000000 27.350000 0.065305
274.000000 27.450000 0.092017
275.000000 27.550000 0.062284
276.000000 27.650000 0.065957
277.000000 27.750000 0.069575
278.000000 27.850000 0.044696
279.000000 27.950000 0.048411
280.000000 28.050000 0.052072
281.000000 28.150000 0.059657
282.000000 28.250000 0.051338
283.000000 28.350000 0.045094
284.000000 28.450000 0.044778
285.000000 28.550000 0.052198
286.000000 28.650000 0.044155
287.000000 28.750000 0.059100
288.000000 28.850000 0.030292
289.000000 28.950000 0.041364
290.000000 29.050000 0.029876
291.000000 29.150000 0.035235
292.000000 29.250000 0.040520
293.000000 29.350000 0.038415
294.000000 29.450000 0.045422
295.000000 29.550000 0.028874
296.000000 29.650000 0.026887
297.000000 29.750000 0.021365
298.000000 29.850000 0.031833
299.000000 29.950000 0.031621
300.000000 30.050000 0.033156
301.000000 30.150000 0.027736
302.000000 30.250000 0.029275
303.000000 30.350000 0.020529
304.000000 30.450000 0.020394
305.000000 30.550000 0.023638
306.000000 30.650000 0.021806
307.000000 30.750000 0.019998
308.000000 30.850000 0.023180
309.000000 30.950000 0.031256
310.000000 31.050000 0.026151
311.000000 31.150000 0.029232
312.000000 31.250000 0.016136
313.000000 31.350000 0.017637
314.000000 31.450000 0.017525
315.000000 31.550000 0.015831
316.000000 31.650000 0.012585
317.000000 31.750000 0.021885
318.000000 31.850000 0.009320
319.000000 31.950000 0.013893
320.000000 32.050000 0.010738
321.000000 32.150000 0.015245
322.000000 32.250000 0.013636
323.000000 32.350000 0.010540
324.000000 32.450000 0.007482
325.000000 32.550000 0.011898
326.000000 32.650000 0.005913
327.000000 32.750000 0.002938
328.000000 32.850000 0.010222
329.000000 32.950000 0.002903
330.000000 33.050000 0.010098
331.000000 33.150000 0.007170
332.000000 33.250000 0.002851
333.000000 33.350000 0.001417
334.000000 33.450000 0.005633
335.000000 33.550000 0.007000
336.000000 33.650000 0.001392
337.000000 33.750000 0.005534
338.000000 33.850000 0.005501
339.000000 33.950000 0.002734
340.000000 34.050000 0.000000
341.000000 34.150000 0.002702
342.000000 34.250000 0.005373
343.000000 34.350000 0.001336
344.000000 34.450000 0.009294
345.000000 34.550000 0.001320
346.000000 34.650000 0.001312
347.000000 34.750000 0.000000
348.000000 34.850000 0.000000
349.000000 34.950000 0.001290
350.000000 35.050000 0.001283
351.000000 35.150000 0.002551
352.000000 35.250000 0.000000
353.000000 35.350000 0.002522
354.000000 35.450000 0.000000
355.000000 35.550000 0.000000
356.000000 35.650000 0.000000
357.000000 35.750000 0.000000
358.000000 35.850000 0.000000
359.000000 35.950000 0.000000
360.000000 36.050000 0.000000
361.000000 36.150000 0.000000
362.000000 36.250000 0.000000
363.000000 36.350000 0.000000
364.000000 36.450000 0.000000
365.000000 36.550000 0.000000
366.000000 36.650000 0.000000
367.000000 36.750000 0.000000
368.000000 36.850000 0.000000
369.000000 36.950000 0.000000
370.000000 37.050000 0.000000
371.000000 37.150000 0.000000
372.000000 37.250000 0.000000
373.000000 37.350000 0.000000
374.000000 37.450000 0.000000
375.000000 37.550000 0.000000
376.000000 37.650000 0.000000
377.000000 37.750000 0.000000
378.000000 37.850000 0.000000
379.000000 37.950000 0.000000
380.000000 38.050000 0.000000
381.000000 38.150000 0.000000
382.000000 38.250000 0.000000
383.000000 38.350000 0.000000
384.000000 38.450000 0.000000
385.000000 38.550000 0.000000
386.000000 38.650000 0.000000
387.000000 38.750000 0.000000
388.000000 38.850000 0.000000
389.000000 38.950000 0.000000
390.000000 39.050000 0.000000
391.000000 39.150000 0.000000
392.000000 39.250000 0.000000
393.000000 39.350000 0.000000
394.000000 39.450000 0.000000
395.000000 39.550000 0.000000
396.000000 39.650000 0.000000
397.000000 39.750000 0.000000
398.000000 39.850000 0.000000
399.000000 39.950000 0.000000
400.000000 40.050000 0.000000
401.000000 40.150000 0.000000
402.000000 40.250000 0.000000
403.000000 40.350000 0.000000
404.000000 40.450000 0.000000
405.000000 40.550000 0.000000
406.000000 40.650000 0.000000
407.000000 40.750000 0.000000
408.000000 40.850000 0.000000
409.000000 40.950000 0.000000
410.000000 41.050000 0.000000
411.000000 41.150000 0.000000
412.000000 41.250000 0.000000
413.000000 41.350000 0.000000
414.000000 41.450000 0.000000
415.000000 41.550000 0.000000
416.000000 41.650000 0.000000
417.000000 41.750000 0.000000
418.000000 41.850000 0.000000
419.000000 41.950000 0.000000
420.000000 42.050000 0.000000
421.000000 42.150000 0.000000
422.000000 42.250000 0.000000
423.000000 42.350000 0.000000
424.000000 42.450000 0.000000
425.000000 42.550000 0.000000
426.000000 42.650000 0.000000
427.000000 42.750000 0.000000
428.000000 42.850000 0.000000
429.000000 42.950000 0.000000
430.000000 43.050000 0.000000
431.000000 43.150000 0.000000
432.000000 43.250000 0.000000
433.000000 43.350000 0.000000
434.000000 43.450000 0.000000
435.000000 43.550000 0.000000
436.000000 43.650000 0.000000
437.000000 43.750000 0.000000
438.000000 43.850000 0.000000
439.000000 43.950000 0.000000
440.000000 44.050000 0.000000
441.000000 44.150000 0.000000
442.000000 44.250000 0.000000
443.000000 44.350000 0.000000
444.000000 44.450000 0.000000
445.000000 44.550000 0.000000
446.000000 44.650000 0.000000
447.000000 44.750000 0.000000
448.000000 44.850000 0.000000
449.000000 44.950000 0.000000
450.000000 45.050000 0.000000
451.000000 45.150000 0.000000
452.000000 45.250000 0.000000
453.000000 45.350000 0.000000
454.000000 45.450000 0.000000
455.000000 45.550000 0.000000
456.000000 45.650000 0.000000
457.000000 45.750000 0.000000
458.000000 45.850000 0.000000
459.000000 45.950000 0.000000
460.000000 46.050000 0.000000
461.000000 46.150000 0.000000
462.000000 46.250000 0.000000
463.000000 46.350000 0.000000
464.000000 46.450000 0.000000
465.000000 46.550000 0.000000
466.000000 46.650000 0.000000
467.000000 46.750000 0.000000
468.000000 46.850000 0.000000
469.000000 46.950000 0.000000
470.000000 47.050000 0.000000
471.000000 47.150000 0.000000
472.000000 47.250000 0.000000
473.000000 47.350000 0.000000
474.000000 47.450000 0.000000
475.000000 47.550000 0.000000
476.000000 47.650000 0.000000
477.000000 47.750000 0.000000
478.000000 47.850000 0.000000
479.000000 47.950000 0.000000
480.000000 48.050000 0.000000
481.000000 48.150000 0.000000
482.000000 48.250000 0.000000
483.000000 48.350000 0.000000
484.000000 48.450000 0.000000
485.000000 48.550000 0.000000
486.000000 48.650000 0.000000
487.000000 48.750000 0.000000
488.000000 48.850000 0.000000
489.000000 48.950000 0.000000
490.000000 49.050000 0.000000
491.000000 49.150000 0.000000
492.000000 49.250000 0.000000
493.000000 49.350000 0.000000
494.000000 49.450000 0.000000
495.000000 49.550000 0.000000
496.000000 49.650000 0.000000
497.000000 49.750000 0.000000
498.000000 49.850000 0.000000
499.000000 49.950000 0.000000
