# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 600000 0 0.761073 24.8485
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 1 1.66667e-06
5 0.9 257 0.000428333
6 1.1 508 0.000846667
7 1.3 450 0.00075
8 1.5 313 0.000521667
9 1.7 303 0.000505
10 1.9 357 0.000595
11 2.1 424 0.000706667
12 2.3 520 0.000866667
13 2.5 638 0.00106333
14 2.7 733 0.00122167
15 2.9 785 0.00130833
16 3.1 771 0.001285
17 3.3 876 0.00146
18 3.5 882 0.00147
19 3.7 940 0.00156667
20 3.9 970 0.00161667
21 4.1 1001 0.00166833
22 4.3 1030 0.00171667
23 4.5 1093 0.00182167
24 4.7 1134 0.00189
25 4.9 1167 0.001945
26 5.1 1228 0.00204667
27 5.3 1232 0.00205333
28 5.5 1283 0.00213833
29 5.7 1326 0.00221
30 5.9 1425 0.002375
31 6.1 1514 0.00252333
32 6.3 1612 0.00268667
33 6.5 1643 0.00273833
34 6.7 1703 0.00283833
35 6.9 1721 0.00286833
36 7.1 1817 0.00302833
37 7.3 2015 0.00335833
38 7.5 2028 0.00338
39 7.7 2074 0.00345667
40 7.9 2153 0.00358833
41 8.1 2311 0.00385167
42 8.3 2272 0.00378667
43 8.5 2443 0.00407167
44 8.7 2528 0.00421333
45 8.9 2626 0.00437667
46 9.1 2754 0.00459
47 9.3 2708 0.00451333
48 9.5 2951 0.00491833
49 9.7 2998 0.00499667
50 9.9 3299 0.00549833
51 10.1 3610 0.00601667
52 10.3 3597 0.005995
53 10.5 3841 0.00640167
54 10.7 4100 0.00683333
55 10.9 4294 0.00715667
56 11.1 4564 0.00760667
57 11.3 4747 0.00791167
58 11.5 5150 0.00858333
59 11.7 5442 0.00907
60 11.9 5681 0.00946833
61 12.1 6092 0.0101533
62 12.3 6506 0.0108433
63 12.5 6620 0.0110333
64 12.7 7119 0.011865
65 12.9 7353 0.012255
66 13.1 7510 0.0125167
67 13.3 8046 0.01341
68 13.5 8438 0.0140633
69 13.7 8627 0.0143783
70 13.9 9200 0.0153333
71 14.1 9672 0.01612
72 14.3 9938 0.0165633
73 14.5 10306 0.0171767
74 14.7 10768 0.0179467
75 14.9 11258 0.0187633
76 15.1 11759 0.0195983
77 15.3 12345 0.020575
78 15.5 12703 0.0211717
79 15.7 13185 0.021975
80 15.9 13639 0.0227317
81 16.1 14223 0.023705
82 16.3 14567 0.0242783
83 16.5 15187 0.0253117
84 16.7 15430 0.0257167
85 16.9 15680 0.0261333
86 17.1 15998 0.0266633
87 17.3 16319 0.0271983
88 17.5 16346 0.0272433
89 17.7 16349 0.0272483
90 17.9 15938 0.0265633
91 18.1 15735 0.026225
92 18.3 15097 0.0251617
93 18.5 14108 0.0235133
94 18.7 13478 0.0224633
95 18.9 12427 0.0207117
96 19.1 11284 0.0188067
97 19.3 10079 0.0167983
98 19.5 9260 0.0154333
99 19.7 7859 0.0130983
100 19.9 6791 0.0113183
101 20.1 5609 0.00934833
102 20.3 4728 0.00788
103 20.5 3759 0.006265
104 20.7 2922 0.00487
105 20.9 2326 0.00387667
106 21.1 1665 0.002775
107 21.3 1257 0.002095
108 21.5 880 0.00146667
109 21.7 566 0.000943333
110 21.9 443 0.000738333
111 22.1 280 0.000466667
112 22.3 181 0.000301667
113 22.5 122 0.000203333
114 22.7 74 0.000123333
115 22.9 56 9.33333e-05
116 23.1 18 3e-05
117 23.3 13 2.16667e-05
118 23.5 10 1.66667e-05
119 23.7 3 5e-06
120 23.9 2 3.33333e-06
121 24.1 1 1.66667e-06
122 24.3 1 1.66667e-06
123 24.5 1 1.66667e-06
124 24.7 0 0
125 24.9 1 1.66667e-06
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
