# Time-averaged data for fix rg
# TimeStep c_rg
0 3.1272
1000 3.24383
2000 3.24872
3000 3.19853
4000 3.13276
5000 3.11387
6000 3.02473
7000 2.98841
8000 3.04083
9000 3.06957
10000 3.18115
11000 3.24478
12000 3.30865
13000 3.38274
14000 3.64787
15000 3.47967
16000 3.54479
17000 3.57708
18000 3.57101
19000 3.51623
20000 3.46147
21000 3.43986
22000 3.39043
23000 3.23216
24000 3.09818
25000 3.08253
26000 3.06929
27000 3.08824
28000 3.00049
29000 2.91847
30000 2.94642
31000 3.06052
32000 2.89845
33000 2.99417
34000 2.94892
35000 2.87673
36000 2.7619
37000 2.81314
38000 2.9532
39000 2.95145
40000 2.94228
41000 2.90462
42000 2.91397
43000 2.89616
44000 2.81129
45000 2.75347
46000 2.97814
47000 3.14187
48000 3.15804
49000 3.21642
50000 3.23504
51000 3.20113
52000 3.31137
53000 3.16803
54000 3.06806
55000 3.03998
56000 3.15591
57000 3.10168
58000 3.09536
59000 3.30013
60000 3.2916
61000 3.36494
62000 3.44081
63000 3.46414
64000 3.50588
65000 3.67878
66000 3.78
67000 3.79636
68000 3.66842
69000 3.62047
70000 3.41404
71000 3.40757
72000 3.34982
73000 3.39698
74000 3.42543
75000 3.48931
76000 3.4731
77000 3.3585
78000 3.40188
79000 3.32601
80000 3.43652
81000 3.46342
82000 3.40037
83000 3.47632
84000 3.425
85000 3.42799
86000 3.55001
87000 3.61728
88000 3.47408
89000 3.61682
90000 3.63204
91000 3.66232
92000 3.66284
93000 3.8192
94000 3.83057
95000 3.90901
96000 3.96949
97000 3.86648
98000 3.89271
99000 3.81827
100000 3.75501
101000 3.70163
102000 3.71855
103000 3.83631
104000 3.65933
105000 3.695
106000 3.73117
107000 3.6995
108000 3.88598
109000 3.90406
110000 3.8602
111000 3.9432
112000 3.94091
113000 3.8904
114000 3.85811
115000 3.81551
116000 3.85302
117000 3.66897
118000 3.73888
119000 3.81005
120000 3.84291
121000 3.81005
122000 4.06714
123000 4.0272
124000 4.0316
125000 3.89622
126000 3.82916
127000 3.91047
128000 3.92459
129000 3.8332
130000 3.83317
131000 3.89805
132000 3.89891
133000 4.11734
134000 4.07735
135000 4.03859
136000 4.12129
137000 4.18216
138000 4.12972
139000 4.13095
140000 4.03293
141000 4.09652
142000 3.99765
143000 4.03323
144000 3.96555
145000 3.97076
146000 3.86762
147000 3.94514
148000 3.97129
149000 4.02904
150000 4.03591
151000 3.80008
152000 3.80693
153000 3.78997
154000 3.69777
155000 3.78084
156000 3.88645
157000 3.95691
158000 3.81988
159000 3.79971
160000 3.71616
161000 3.87662
162000 3.96465
163000 3.92543
164000 4.01018
165000 4.15221
166000 4.11747
167000 4.10643
168000 4.20368
169000 4.35537
170000 4.42117
171000 4.40029
172000 4.34194
173000 4.35057
174000 4.50004
175000 4.59055
176000 4.56813
177000 4.49517
178000 4.50333
179000 4.55417
180000 4.52951
181000 4.52174
182000 4.54894
183000 4.50872
184000 4.57769
185000 4.56281
186000 4.66626
187000 4.59386
188000 4.52274
189000 4.42414
190000 4.27044
191000 4.39853
192000 4.51819
193000 4.58425
194000 4.6252
195000 4.46554
196000 4.42285
197000 4.34398
198000 4.35203
199000 4.26792
200000 4.25986
