# Time-averaged data for fix 4
# TimeStep c_1 v_dist v_fz
0 4.6744 0.674398 3.37199
1000 5.50264 1.50264 7.51319
2000 4.58504 0.585042 2.92521
3000 4.35788 0.357879 1.7894
4000 4.34232 0.342316 1.71158
5000 4.26149 0.261491 1.30746
6000 4.59422 0.594221 2.9711
7000 5.68999 1.68999 8.44996
8000 4.24422 0.244217 1.22108
9000 4.11031 0.110312 0.55156
10000 4.36969 0.369686 1.84843
11000 4.52449 0.524489 2.62245
12000 4.6691 0.669097 3.34548
13000 5.00312 1.00312 5.01558
14000 4.81973 0.819729 4.09865
15000 5.11264 1.11264 5.56321
16000 5.40142 1.40142 7.00712
17000 4.77648 0.77648 3.8824
18000 4.81411 0.814106 4.07053
19000 4.8101 0.810097 4.05049
20000 4.23197 0.231966 1.15983
21000 4.02449 0.0244859 0.122429
22000 3.98 -0.0199962 -0.099981
23000 3.90116 -0.0988439 -0.49422
24000 4.1288 0.128804 0.644019
25000 4.12371 0.123706 0.618529
26000 3.87029 -0.129706 -0.648532
27000 4.1228 0.1228 0.614002
28000 3.94192 -0.0580822 -0.290411
29000 4.71556 0.715555 3.57778
30000 3.95385 -0.0461458 -0.230729
31000 4.9739 0.973898 4.86949
32000 4.05937 0.0593652 0.296826
33000 4.38205 0.382054 1.91027
34000 4.14007 0.140068 0.700339
35000 4.16665 0.166652 0.833259
36000 4.4662 0.466196 2.33098
37000 4.19894 0.198936 0.994682
38000 4.14907 0.149068 0.745341
39000 4.93227 0.932266 4.66133
40000 4.13571 0.135712 0.678562
41000 3.88288 -0.117121 -0.585605
42000 4.09985 0.0998524 0.499262
43000 4.19174 0.191736 0.958682
44000 4.02043 0.0204335 0.102168
45000 4.22045 0.220453 1.10226
46000 4.58976 0.589755 2.94878
47000 4.41488 0.414883 2.07441
48000 4.00219 0.00218783 0.0109392
49000 4.36069 0.360686 1.80343
50000 4.59087 0.590868 2.95434
51000 4.03085 0.03085 0.15425
52000 3.95341 -0.0465913 -0.232957
53000 4.14579 0.145794 0.728972
54000 3.91963 -0.0803655 -0.401827
55000 4.45618 0.45618 2.2809
56000 4.07095 0.0709496 0.354748
57000 4.44926 0.449258 2.24629
58000 4.35112 0.351124 1.75562
59000 4.57985 0.579853 2.89926
60000 4.54384 0.543843 2.71921
