# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.737934 24.2043
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 61 3.50575e-06
5 0.9 16325 0.000938218
6 1.1 45434 0.00261115
7 1.3 55343 0.00318063
8 1.5 67913 0.00390305
9 1.7 86767 0.00498661
10 1.9 114316 0.00656989
11 2.1 150652 0.00865816
12 2.3 202876 0.0116595
13 2.5 283129 0.0162718
14 2.7 240688 0.0138326
15 2.9 209425 0.0120359
16 3.1 230325 0.0132371
17 3.3 248253 0.0142674
18 3.5 246521 0.0141679
19 3.7 229671 0.0131995
20 3.9 235432 0.0135306
21 4.1 241895 0.013902
22 4.3 241765 0.0138945
23 4.5 236839 0.0136114
24 4.7 238114 0.0136847
25 4.9 239530 0.0137661
26 5.1 240595 0.0138273
27 5.3 238170 0.0136879
28 5.5 238088 0.0136832
29 5.7 238744 0.0137209
30 5.9 239027 0.0137372
31 6.1 238020 0.0136793
32 6.3 237008 0.0136211
33 6.5 238027 0.0136797
34 6.7 237662 0.0136587
35 6.9 237317 0.0136389
36 7.1 235495 0.0135342
37 7.3 235887 0.0135567
38 7.5 235925 0.0135589
39 7.7 234548 0.0134798
40 7.9 234032 0.0134501
41 8.1 234093 0.0134536
42 8.3 233615 0.0134261
43 8.5 233474 0.013418
44 8.7 231998 0.0133332
45 8.9 231586 0.0133095
46 9.1 230613 0.0132536
47 9.3 229639 0.0131976
48 9.5 228240 0.0131172
49 9.7 227192 0.013057
50 9.9 226414 0.0130123
51 10.1 225257 0.0129458
52 10.3 224196 0.0128848
53 10.5 223565 0.0128486
54 10.7 222056 0.0127618
55 10.9 220683 0.0126829
56 11.1 219831 0.012634
57 11.3 217759 0.0125149
58 11.5 217749 0.0125143
59 11.7 215636 0.0123929
60 11.9 213346 0.0122613
61 12.1 211778 0.0121711
62 12.3 210875 0.0121193
63 12.5 208704 0.0119945
64 12.7 207094 0.011902
65 12.9 204187 0.0117349
66 13.1 202251 0.0116236
67 13.3 201069 0.0115557
68 13.5 197883 0.0113726
69 13.7 195262 0.011222
70 13.9 192272 0.0110501
71 14.1 190224 0.0109324
72 14.3 187327 0.0107659
73 14.5 183478 0.0105447
74 14.7 180194 0.010356
75 14.9 176516 0.0101446
76 15.1 173087 0.00994753
77 15.3 168419 0.00967925
78 15.5 164531 0.0094558
79 15.7 160149 0.00920397
80 15.9 155725 0.00894971
81 16.1 149915 0.0086158
82 16.3 144303 0.00829328
83 16.5 138534 0.00796172
84 16.7 132006 0.00758655
85 16.9 125458 0.00721023
86 17.1 118649 0.00681891
87 17.3 111410 0.00640287
88 17.5 103683 0.00595879
89 17.7 95411 0.00548339
90 17.9 87298 0.00501713
91 18.1 78663 0.00452086
92 18.3 70443 0.00404845
93 18.5 62170 0.00357299
94 18.7 53894 0.00309736
95 18.9 46129 0.00265109
96 19.1 38757 0.00222741
97 19.3 32540 0.00187011
98 19.5 26709 0.001535
99 19.7 20972 0.00120529
100 19.9 17027 0.000978563
101 20.1 12886 0.000740575
102 20.3 9940 0.000571264
103 20.5 7379 0.00042408
104 20.7 5414 0.000311149
105 20.9 3987 0.000229138
106 21.1 2796 0.00016069
107 21.3 2012 0.000115632
108 21.5 1334 7.66667e-05
109 21.7 874 5.02299e-05
110 21.9 605 3.47701e-05
111 22.1 377 2.16667e-05
112 22.3 252 1.44828e-05
113 22.5 155 8.90805e-06
114 22.7 98 5.63218e-06
115 22.9 65 3.73563e-06
116 23.1 26 1.49425e-06
117 23.3 22 1.26437e-06
118 23.5 8 4.5977e-07
119 23.7 7 4.02299e-07
120 23.9 2 1.14943e-07
121 24.1 3 1.72414e-07
122 24.3 1 5.74713e-08
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
