# Time-averaged data for fix z
# TimeStep c_z
397000 3.73894
398000 3.27867
399000 2.88192
400000 2.58024
401000 2.19519
402000 1.6763
403000 1.68101
404000 1.51891
405000 2.27642
406000 1.97482
407000 1.85966
408000 2.36384
409000 3.1815
410000 1.1751
411000 2.25505
412000 1.95238
413000 2.10478
414000 3.03619
415000 3.39648
416000 3.04575
417000 2.59976
418000 3.64244
419000 2.55494
420000 3.5764
421000 3.607
422000 3.16273
423000 1.90849
424000 2.37429
425000 3.10088
426000 2.51995
427000 3.38279
428000 2.54161
429000 1.65882
430000 1.91138
431000 1.19559
432000 1.08475
433000 3.70066
434000 3.53645
435000 2.52616
436000 1.76959
437000 1.54183
438000 2.32616
439000 2.68669
440000 3.89529
441000 4.41227
442000 2.65659
443000 3.98613
444000 3.67163
445000 1.80076
446000 2.62239
447000 3.21841
448000 5.12048
449000 4.15625
450000 3.30207
451000 4.63018
452000 3.10555
453000 1.60092
454000 2.12882
455000 1.68387
456000 3.03233
457000 1.98691
458000 1.1316
459000 2.77265
460000 2.28702
461000 1.93339
462000 3.26005
463000 4.44325
464000 3.73183
465000 2.70104
466000 2.62591
467000 1.74361
468000 1.99002
469000 2.87091
470000 2.30815
471000 2.58302
472000 1.79456
473000 1.74679
474000 2.86951
475000 1.54095
476000 2.10426
477000 3.63389
478000 1.78034
479000 1.73786
480000 2.93696
481000 2.52445
482000 1.43402
483000 2.2178
484000 2.71932
485000 3.69266
486000 2.51133
487000 1.2348
488000 1.2654
489000 2.0293
490000 2.33038
491000 2.13127
492000 1.96456
493000 2.26086
494000 1.35008
495000 1.83577
496000 2.06717
497000 1.74694
498000 1.5345
499000 1.08073
500000 2.35041
501000 3.62442
502000 4.03394
503000 3.70885
504000 3.25967
505000 3.47364
506000 3.42689
507000 2.48665
508000 2.54625
509000 3.03874
510000 3.48889
511000 3.27722
512000 3.60289
513000 2.95564
514000 1.74006
515000 1.92099
516000 1.61456
517000 2.19723
518000 1.66149
519000 3.19147
520000 2.80549
521000 1.70459
522000 3.72609
523000 3.12588
524000 2.55792
525000 1.96784
526000 1.36975
527000 2.72321
528000 2.98531
529000 3.13323
530000 2.04978
531000 1.83433
532000 2.22214
533000 1.6431
534000 3.73178
535000 2.2992
536000 2.70394
537000 3.4278
538000 3.70394
539000 4.11877
540000 3.96712
541000 4.19995
542000 2.24138
543000 2.37198
544000 1.32677
545000 1.10082
546000 3.26466
547000 1.63983
548000 1.8218
549000 1.0287
550000 2.18561
551000 4.51188
552000 3.09682
553000 3.60715
554000 2.56544
555000 3.40429
556000 2.85396
557000 3.58635
558000 2.65504
559000 3.57883
560000 5.1999
561000 6.22806
562000 5.04992
563000 3.74006
564000 3.33886
565000 2.09538
566000 1.72364
567000 1.12378
568000 1.22256
569000 1.82014
570000 1.43625
571000 1.28476
572000 1.97693
573000 1.18865
574000 2.03967
575000 1.27306
576000 1.44232
577000 1.09316
578000 1.89546
579000 2.8693
580000 2.72405
581000 2.44181
582000 2.71363
583000 1.70818
584000 1.72075
585000 2.05097
586000 1.14814
587000 1.33044
588000 2.5597
589000 3.52473
590000 4.30393
591000 5.42705
592000 4.87931
593000 4.64389
594000 3.61156
595000 3.37346
596000 3.5057
597000 3.63675
598000 2.7139
599000 2.45889
600000 3.78906
601000 3.11287
602000 2.29053
603000 2.73433
604000 2.40498
605000 1.17024
606000 1.11678
607000 2.8112
608000 2.19921
609000 0.981019
610000 1.13101
611000 2.87967
612000 3.11167
613000 3.14652
614000 2.43569
615000 3.36127
616000 3.92807
617000 3.38557
618000 4.03636
619000 1.52333
620000 1.36263
621000 2.82551
622000 1.39009
623000 1.91321
624000 0.940514
625000 1.55603
626000 3.66087
627000 3.21036
628000 3.77277
629000 2.70301
630000 1.72572
631000 2.1801
632000 2.86122
633000 2.96476
634000 2.91886
635000 2.83154
636000 2.23449
637000 2.72098
638000 4.5546
639000 5.14191
640000 3.22653
641000 4.44628
642000 3.24586
643000 1.90481
644000 4.1584
645000 4.61387
646000 3.65788
647000 3.72481
648000 2.41106
649000 2.31386
650000 2.18894
651000 3.00111
652000 3.31866
653000 3.56581
654000 2.17244
655000 3.40471
656000 4.75658
657000 3.64043
658000 4.52758
659000 5.68803
660000 4.68315
661000 2.8839
662000 2.44087
663000 2.98939
664000 2.546
665000 3.48529
666000 3.24278
667000 4.07784
668000 5.61708
669000 5.42546
670000 4.74254
671000 4.17335
672000 3.57077
673000 4.1931
674000 4.10236
675000 1.50074
676000 0.840316
677000 2.80477
678000 1.36062
679000 2.14361
680000 1.77131
681000 2.06164
682000 3.4055
683000 2.57263
684000 2.20886
685000 4.02343
686000 3.5166
687000 2.90915
688000 2.35071
689000 3.97005
690000 3.8192
691000 3.2108
692000 2.32705
693000 1.86411
694000 2.49087
695000 2.78333
696000 1.81346
697000 1.83679
698000 1.52808
699000 3.41858
700000 4.15953
701000 4.9336
702000 4.07524
703000 4.71156
704000 5.10399
705000 3.25267
706000 4.09982
707000 2.96706
708000 4.35749
709000 2.4473
710000 2.18139
711000 1.36922
712000 2.2
713000 1.65585
714000 2.46114
715000 2.50161
716000 2.66166
717000 3.93468
718000 1.86983
719000 1.38868
720000 2.39717
721000 2.91875
722000 4.33101
723000 3.50538
724000 3.5774
725000 2.06895
726000 2.92739
727000 3.36468
728000 3.17905
729000 3.72391
730000 4.39891
731000 3.3175
732000 3.58675
733000 4.06058
734000 3.87839
735000 1.66421
736000 2.83966
737000 2.83434
738000 2.25188
739000 1.74967
740000 1.78068
741000 1.91918
742000 2.45619
743000 3.01216
744000 1.9075
745000 1.42055
746000 1.51985
747000 1.93074
748000 1.72132
749000 2.13654
750000 1.04953
751000 1.47112
752000 1.44202
753000 1.10738
754000 2.45039
755000 2.36784
756000 1.46151
757000 2.88736
758000 1.74216
759000 1.20369
760000 0.94185
761000 1.43298
762000 2.19122
763000 0.999886
764000 1.74141
765000 0.836783
766000 1.74728
767000 1.46764
768000 1.84009
769000 2.0205
770000 1.3529
771000 2.11709
772000 2.93317
773000 3.44874
774000 4.09591
775000 2.52394
776000 5.57361
777000 3.90794
778000 2.87429
779000 2.27232
780000 3.0228
781000 1.84883
782000 2.53314
783000 2.60696
784000 1.76747
785000 2.6766
786000 1.35125
787000 1.37392
788000 1.67683
789000 2.30708
790000 2.29115
791000 2.52671
792000 2.56214
793000 3.01428
794000 1.70345
795000 1.77385
796000 1.36393
797000 1.60188
798000 2.06776
799000 2.59401
800000 2.04258
801000 1.81194
802000 2.04037
803000 1.66134
804000 1.26168
805000 1.49016
806000 3.36979
807000 3.799
808000 2.20342
809000 3.20118
810000 2.93824
811000 3.02072
812000 2.76519
813000 3.15424
814000 3.04552
815000 4.3808
816000 3.77334
817000 3.66913
