# Time-averaged data for fix rg
# TimeStep c_rg
0 2.41096
1000 2.40167
2000 2.38616
3000 2.36914
4000 2.37357
5000 2.44811
6000 2.47789
7000 2.45723
8000 2.4443
9000 2.4596
10000 2.48023
11000 2.48055
12000 2.49224
13000 2.52899
14000 2.60279
15000 2.65649
16000 2.58109
17000 2.56483
18000 2.57733
19000 2.59494
20000 2.57528
21000 2.51032
22000 2.46311
23000 2.48157
24000 2.56031
25000 2.43974
26000 2.32134
27000 2.38894
28000 2.40962
29000 2.46274
30000 2.39914
31000 2.30817
32000 2.37612
33000 2.36685
34000 2.38941
35000 2.4917
36000 2.43532
37000 2.45662
38000 2.40726
39000 2.44659
40000 2.38067
41000 2.36973
42000 2.4556
43000 2.5224
44000 2.48879
45000 2.47022
46000 2.44257
47000 2.45735
48000 2.41607
49000 2.36646
50000 2.41702
51000 2.48752
52000 2.49016
53000 2.51433
54000 2.47257
55000 2.55499
56000 2.49473
57000 2.51412
58000 2.57435
59000 2.60425
60000 2.58684
61000 2.68075
62000 2.63381
63000 2.68309
64000 2.63697
65000 2.69189
66000 2.76455
67000 2.82215
68000 2.81558
69000 2.68255
70000 2.69486
71000 2.74128
72000 2.86205
73000 2.81693
74000 2.92709
75000 2.96981
76000 2.91157
77000 2.94413
78000 3.0479
79000 3.10688
80000 3.11513
81000 3.11862
82000 3.10754
83000 3.15355
84000 3.12807
85000 3.06391
86000 3.06211
87000 2.94723
88000 3.04034
89000 3.1332
90000 3.10152
91000 3.09098
92000 2.8922
93000 2.89081
94000 2.93628
95000 2.96038
96000 2.92894
97000 2.90599
98000 2.99932
99000 3.03534
100000 3.06107
101000 3.04395
102000 2.99982
103000 3.12045
104000 3.04328
105000 3.07454
106000 3.11466
107000 3.0885
108000 3.00833
109000 3.07197
110000 3.01376
111000 2.972
112000 3.05019
113000 3.14993
114000 3.08734
115000 3.29212
116000 3.32754
117000 3.30137
118000 3.43478
119000 3.3376
120000 3.36892
121000 3.24412
122000 3.22036
123000 3.29645
124000 3.13409
125000 3.26718
126000 3.21942
127000 3.30533
128000 3.27879
129000 3.2628
130000 3.20877
131000 3.10294
132000 3.0248
133000 2.97904
134000 2.9955
135000 2.95673
136000 2.88711
137000 2.80941
138000 2.85849
139000 2.84026
140000 2.86331
141000 2.93522
142000 3.00335
143000 3.07934
144000 3.14662
145000 3.19591
146000 3.24678
147000 3.38569
148000 3.1629
149000 3.05857
150000 3.1168
151000 3.00333
152000 3.08267
153000 3.13618
154000 3.12578
155000 3.06804
156000 3.12439
157000 3.14029
158000 3.0973
159000 3.07903
160000 3.1063
161000 3.08117
162000 3.14141
163000 3.15112
164000 3.21177
165000 3.27144
166000 3.23503
167000 3.17188
168000 3.12928
169000 3.0957
170000 3.15179
171000 3.12372
172000 3.14314
173000 3.15093
174000 3.09964
175000 3.08043
176000 3.02705
177000 3.03635
178000 3.07593
179000 3.15132
180000 3.17961
181000 3.13193
182000 3.0971
183000 3.03504
184000 3.12494
185000 3.06461
186000 3.00097
187000 3.05414
188000 3.01515
189000 3.01213
190000 3.04398
191000 3.07968
192000 3.0881
193000 3.10321
194000 3.11058
195000 3.0625
196000 3.08459
197000 2.94217
198000 2.92648
199000 2.99038
200000 3.07059
