LAMMPS data file via write_data, version 3 Mar 2020, timestep = 200000

6830 atoms
3 atom types
29 bonds
1 bond types

-5.7758099999999999e+00 5.7758099999999999e+00 xlo xhi
-5.7758099999999999e+00 5.7758099999999999e+00 ylo yhi
-5.7758099999999999e+00 5.7758099999999999e+00 zlo zhi

Masses

1 1
2 1
3 1

Pair Coeffs # lj/cut

1 1 1
2 1 0.5
3 1 0.5

Bond Coeffs # fene

1 30 1.5 1 1

Atoms # bond

901 872 2 5.5871344617791614e+00 -4.4004651250489824e+00 -5.1170520734320242e+00 0 3 -7
3768 3739 3 -5.4380544021290209e+00 -3.8576475856483703e+00 -4.4168358238035292e+00 5 -3 9
1482 1453 2 -5.3078405290171187e+00 -4.4352138128893133e+00 -5.4516341695016601e+00 -4 -4 6
5856 5827 3 -5.4273626093254608e+00 -5.4542832062744253e+00 -5.3901893055356149e+00 -10 7 -1
3301 3272 3 -4.4605714500768716e+00 -3.9467311743272600e+00 5.4475704276585866e+00 -8 -3 3
6226 6197 3 5.5439842307805938e+00 5.5009398396188196e+00 -4.8442602851456247e+00 -4 3 5
211 182 2 4.9627783820856299e+00 5.1391045766497374e+00 -4.6198378993604701e+00 -9 3 1
4856 4827 3 -5.4247801769847488e+00 -4.1685157731278313e+00 -3.9638518351878003e+00 -2 -2 7
6028 5999 3 -3.8111315833813069e+00 -5.3002150546855429e+00 -5.3388035146141029e+00 -7 -2 4
393 364 2 -4.2835665980345752e+00 -5.5825094508913118e+00 -4.9022665602152387e+00 9 3 1
1876 1847 2 -3.9404083245759707e+00 -5.2621028770853826e+00 -4.5932797011167041e+00 -5 3 14
5423 5394 3 -3.3181563664059888e+00 5.1682027621675726e+00 -5.2074763384561269e+00 8 4 6
5931 5902 3 -4.0484108487641377e+00 4.7234819581722096e+00 -5.7275108896299542e+00 2 -6 5
6561 6532 3 -4.3437719429127437e+00 -5.2382504153526730e+00 -3.9956956480332080e+00 1 -6 -3
3572 3543 3 -3.5957699781439194e+00 4.5856197114116961e+00 -5.3502783395209361e+00 -1 3 -1
4638 4609 3 -3.6336312321560915e+00 4.6734363017466416e+00 5.1530526310158153e+00 -7 5 11
4469 4440 3 -3.5776415862999684e+00 -4.5681617000085044e+00 -5.5045499258408785e+00 8 -10 3
2805 2776 3 -2.2733837265111014e+00 -3.3357981851594940e+00 5.3738620155583643e+00 -3 -7 -7
2945 2916 3 -2.5943504266910589e+00 -4.0234249110033886e+00 -3.8733139033900570e+00 -6 9 -2
5982 5953 3 -2.6227896201703276e+00 -5.6825310013996679e+00 -4.8342737143642509e+00 5 -3 2
