# Time-averaged data for fix 4
# TimeStep c_1 v_dist v_fz
0 20.1206 0.120592 0.60296
1000 20.3568 0.356759 1.7838
2000 20.209 0.208965 1.04483
3000 20.0884 0.088376 0.44188
4000 20.4105 0.410511 2.05256
5000 19.4428 -0.557248 -2.78624
6000 20.6986 0.69859 3.49295
7000 20.8749 0.874906 4.37453
8000 20.9772 0.97721 4.88605
9000 21.564 1.56397 7.81987
10000 20.3779 0.377853 1.88927
11000 20.4761 0.4761 2.3805
12000 20.1915 0.191531 0.957657
13000 20.6521 0.65212 3.2606
14000 20.3146 0.314605 1.57302
15000 20.3071 0.307079 1.5354
16000 20.3604 0.360417 1.80208
17000 20.9043 0.90425 4.52125
18000 20.7907 0.790703 3.95351
19000 21.1212 1.12121 5.60607
20000 20.1141 0.114079 0.570393
21000 20.3576 0.357594 1.78797
22000 20.1503 0.150302 0.751511
23000 20.1178 0.117842 0.589212
24000 19.4262 -0.573826 -2.86913
25000 20.6149 0.61489 3.07445
26000 19.9545 -0.0455481 -0.22774
27000 21.0095 1.00954 5.04772
28000 20.692 0.692007 3.46003
29000 20.135 0.135044 0.675221
30000 20.4043 0.404332 2.02166
31000 20.2591 0.259125 1.29562
32000 20.6329 0.63291 3.16455
33000 20.4896 0.489566 2.44783
34000 20.4531 0.45313 2.26565
35000 20.1327 0.132705 0.663524
36000 20.5137 0.513714 2.56857
37000 21.1463 1.14625 5.73127
38000 20.7646 0.764601 3.82301
39000 19.6704 -0.329563 -1.64781
40000 21.2328 1.23284 6.16419
41000 21.0712 1.07116 5.35582
42000 20.0711 0.0710645 0.355323
43000 19.6072 -0.392763 -1.96382
44000 20.2837 0.283685 1.41842
45000 20.9592 0.959169 4.79584
46000 21.6253 1.62529 8.12645
47000 21.1233 1.12332 5.61658
48000 19.9156 -0.0844035 -0.422018
49000 19.7172 -0.282773 -1.41387
50000 19.3899 -0.610092 -3.05046
51000 20.579 0.579047 2.89523
52000 20.4142 0.414164 2.07082
53000 20.8738 0.873827 4.36913
54000 20.2356 0.235633 1.17816
55000 19.8159 -0.184146 -0.920729
56000 20.6517 0.651673 3.25836
57000 20.8227 0.822725 4.11363
58000 20.8139 0.813915 4.06957
59000 21.2311 1.23109 6.15546
60000 20.1042 0.104193 0.520966
61000 19.5736 -0.426369 -2.13184
62000 21.105 1.10497 5.52483
63000 20.6246 0.624559 3.12279
64000 20.0201 0.020126 0.10063
65000 20.6533 0.65328 3.2664
66000 19.9759 -0.0241401 -0.120701
67000 20.2794 0.279407 1.39703
68000 20.3251 0.325145 1.62573
69000 19.9768 -0.0232385 -0.116192
70000 19.9763 -0.0237487 -0.118744
71000 19.9526 -0.0473828 -0.236914
72000 21.3728 1.37276 6.86379
73000 20.7949 0.79487 3.97435
74000 20.0383 0.0383296 0.191648
75000 19.0377 -0.962337 -4.81169
76000 21.2369 1.23686 6.1843
77000 20.2253 0.225282 1.12641
78000 20.3258 0.325808 1.62904
79000 20.691 0.690999 3.455
80000 20.1759 0.175911 0.879555
81000 20.462 0.46195 2.30975
82000 19.8868 -0.113152 -0.56576
83000 19.8888 -0.111173 -0.555866
84000 19.2842 -0.715835 -3.57917
85000 20.2181 0.218102 1.09051
86000 19.0971 -0.902851 -4.51425
87000 19.9303 -0.0697389 -0.348695
88000 20.4825 0.482498 2.41249
89000 20.4216 0.421637 2.10818
90000 20.3965 0.396525 1.98262
91000 19.6066 -0.393401 -1.96701
92000 20.9446 0.944634 4.72317
93000 20.6718 0.671808 3.35904
94000 20.7315 0.731475 3.65737
95000 19.0793 -0.920728 -4.60364
96000 19.9075 -0.0924888 -0.462444
97000 20.4693 0.469276 2.34638
98000 19.7223 -0.27768 -1.3884
99000 19.673 -0.326989 -1.63494
100000 19.4537 -0.54631 -2.73155
101000 20.068 0.06799 0.33995
102000 19.2389 -0.761056 -3.80528
103000 20.0963 0.0963037 0.481518
104000 20.9259 0.92586 4.6293
105000 20.3006 0.300599 1.50299
106000 21.4315 1.43146 7.15729
107000 20.9916 0.991571 4.95785
108000 21.2303 1.23028 6.15141
109000 20.6804 0.680445 3.40222
110000 19.6693 -0.330656 -1.65328
111000 20.1192 0.119157 0.595783
112000 20.3871 0.387078 1.93539
113000 20.0908 0.0907933 0.453967
114000 20.5284 0.528367 2.64183
115000 20.3062 0.306186 1.53093
116000 20.2809 0.280878 1.40439
117000 20.0133 0.0133318 0.0666589
118000 20.2867 0.286712 1.43356
119000 19.9595 -0.0404841 -0.20242
120000 20.4314 0.431365 2.15683
121000 19.7524 -0.247642 -1.23821
122000 19.8974 -0.102631 -0.513157
123000 20.7696 0.769625 3.84813
124000 20.6847 0.684705 3.42352
125000 21.0633 1.06331 5.31653
126000 19.9823 -0.017734 -0.08867
127000 20.0007 0.000749333 0.00374667
128000 21.1081 1.10806 5.5403
129000 20.9458 0.945799 4.72899
130000 20.669 0.668976 3.34488
131000 20.8872 0.887195 4.43597
132000 20.5524 0.552377 2.76188
133000 19.7094 -0.290555 -1.45277
134000 19.8923 -0.107652 -0.538259
135000 20.0628 0.0628374 0.314187
136000 19.2871 -0.712876 -3.56438
137000 19.724 -0.276019 -1.38009
138000 20.7403 0.740301 3.7015
139000 21.6115 1.61151 8.05753
140000 20.8309 0.8309 4.1545
141000 21.2978 1.29782 6.48912
142000 20.3365 0.336464 1.68232
143000 20.1231 0.123093 0.615466
144000 21.0881 1.0881 5.44051
145000 20.0397 0.0396889 0.198445
146000 20.4296 0.429593 2.14797
147000 20.973 0.973033 4.86517
148000 21.3453 1.34532 6.7266
149000 20.4267 0.426654 2.13327
150000 20.7841 0.78409 3.92045
151000 19.6209 -0.379127 -1.89563
152000 20.375 0.375009 1.87504
153000 20.7996 0.79959 3.99795
154000 21.077 1.077 5.38499
155000 20.4454 0.445424 2.22712
156000 20.3615 0.36149 1.80745
157000 21.6476 1.6476 8.23799
158000 20.6413 0.641301 3.2065
159000 20.6443 0.644281 3.2214
160000 20.6251 0.625137 3.12569
161000 20.5632 0.563204 2.81602
162000 20.1921 0.192098 0.96049
163000 19.9895 -0.0105288 -0.052644
164000 19.8174 -0.182555 -0.912776
165000 20.4075 0.407533 2.03767
166000 20.275 0.274958 1.37479
167000 19.832 -0.168017 -0.840086
168000 20.517 0.517037 2.58519
169000 20.2419 0.241901 1.2095
170000 20.2188 0.218829 1.09415
171000 20.0774 0.0773781 0.386891
172000 19.6974 -0.302646 -1.51323
173000 20.0966 0.0965682 0.482841
174000 20.1298 0.12982 0.649099
175000 20.3578 0.357753 1.78877
176000 21.4575 1.45754 7.28771
177000 20.6538 0.653837 3.26919
178000 20.6033 0.603254 3.01627
179000 20.7582 0.758181 3.7909
180000 20.3232 0.32322 1.6161
181000 20.4731 0.47313 2.36565
182000 20.8294 0.829402 4.14701
183000 20.4783 0.478299 2.3915
184000 20.8361 0.836053 4.18027
185000 20.4705 0.470529 2.35265
186000 19.79 -0.209997 -1.04999
187000 19.7249 -0.275098 -1.37549
188000 21.0676 1.06756 5.3378
189000 20.4629 0.462852 2.31426
190000 20.0906 0.0906428 0.453214
191000 19.9915 -0.00851132 -0.0425566
192000 21.1146 1.11461 5.57306
193000 20.0831 0.0831402 0.415701
194000 20.8299 0.829869 4.14934
195000 20.2012 0.201216 1.00608
196000 20.1723 0.17229 0.861448
197000 19.828 -0.172016 -0.860079
198000 21.2962 1.29622 6.4811
199000 20.6581 0.658081 3.2904
200000 19.8116 -0.188438 -0.942189
201000 20.258 0.258018 1.29009
202000 19.9163 -0.0836854 -0.418427
203000 21.2089 1.20892 6.04461
204000 20.5162 0.516159 2.58079
205000 20.0423 0.0422532 0.211266
206000 19.4143 -0.585654 -2.92827
207000 20.5286 0.528583 2.64292
208000 19.2329 -0.76706 -3.8353
209000 20.1547 0.1547 0.7735
210000 20.1135 0.113499 0.567493
211000 20.8057 0.805732 4.02866
212000 20.4905 0.490543 2.45271
213000 20.6389 0.638906 3.19453
214000 20.2024 0.202353 1.01176
215000 20.5714 0.57135 2.85675
216000 20.0648 0.0648218 0.324109
217000 20.9771 0.977057 4.88529
218000 19.6334 -0.366623 -1.83312
219000 20.8356 0.835634 4.17817
220000 20.3715 0.371525 1.85763
221000 19.6511 -0.348921 -1.7446
222000 20.5792 0.579156 2.89578
223000 20.6109 0.610886 3.05443
224000 20.6093 0.609343 3.04672
225000 20.4413 0.441281 2.20641
226000 21.4179 1.41788 7.0894
227000 21.2933 1.29333 6.46663
228000 20.5088 0.508801 2.54401
229000 20.0254 0.0253647 0.126823
230000 19.7707 -0.229254 -1.14627
231000 20.4872 0.487247 2.43623
232000 20.2895 0.289471 1.44736
233000 20.7994 0.799412 3.99706
234000 20.163 0.16298 0.8149
235000 19.9781 -0.0219147 -0.109573
236000 19.7085 -0.291506 -1.45753
237000 20.0752 0.0752097 0.376048
238000 20.48 0.480042 2.40021
239000 20.6663 0.666284 3.33142
240000 20.4579 0.457864 2.28932
241000 19.3891 -0.610927 -3.05464
242000 20.7754 0.775411 3.87706
243000 19.8271 -0.172863 -0.864313
244000 19.0695 -0.930528 -4.65264
245000 20.0604 0.0604273 0.302136
246000 20.0336 0.0335911 0.167955
247000 20.9385 0.938544 4.69272
248000 19.0725 -0.927514 -4.63757
249000 20.8707 0.870672 4.35336
250000 20.2238 0.223804 1.11902
251000 19.783 -0.216964 -1.08482
252000 20.2943 0.294262 1.47131
253000 20.3436 0.343629 1.71814
254000 19.7392 -0.26078 -1.3039
255000 20.4607 0.460664 2.30332
256000 20.6667 0.666674 3.33337
257000 21.1984 1.19838 5.99191
258000 20.4309 0.430887 2.15443
259000 20.508 0.507961 2.53981
260000 20.5746 0.5746 2.873
261000 21.3547 1.35472 6.77361
262000 20.0137 0.0137059 0.0685295
263000 20.0728 0.0728019 0.36401
264000 20.1805 0.180519 0.902593
265000 20.2182 0.218175 1.09087
266000 20.1484 0.148391 0.741953
267000 20.8798 0.879785 4.39893
268000 20.3863 0.386253 1.93127
269000 20.6101 0.610054 3.05027
270000 20.7481 0.748078 3.74039
271000 20.2862 0.28617 1.43085
272000 20.4669 0.466875 2.33438
273000 20.0542 0.0541677 0.270839
274000 21.3402 1.34016 6.70079
275000 19.4469 -0.553069 -2.76535
276000 19.876 -0.124045 -0.620227
277000 19.9429 -0.0571232 -0.285616
278000 21.0967 1.09667 5.48337
279000 21.0166 1.01664 5.08321
280000 20.0944 0.0944091 0.472046
281000 20.2307 0.230741 1.15371
282000 20.1989 0.198903 0.994517
283000 21.3917 1.39174 6.95871
284000 19.9919 -0.00812498 -0.0406249
285000 20.7125 0.712468 3.56234
286000 20.3961 0.396082 1.98041
287000 20.0087 0.00867019 0.0433509
288000 21.0021 1.00208 5.01039
289000 21.2583 1.25835 6.29174
290000 20.3584 0.358425 1.79213
291000 20.2877 0.287686 1.43843
292000 19.9485 -0.0514802 -0.257401
293000 20.3428 0.342821 1.71411
294000 19.7041 -0.295878 -1.47939
295000 19.1649 -0.835086 -4.17543
296000 19.6483 -0.351673 -1.75837
297000 19.5303 -0.469722 -2.34861
298000 20.2148 0.214822 1.07411
299000 20.5646 0.564573 2.82286
300000 20.3258 0.325841 1.6292
301000 20.1531 0.153111 0.765555
302000 19.5117 -0.488323 -2.44162
303000 20.7352 0.735234 3.67617
304000 19.4382 -0.561791 -2.80895
305000 19.8817 -0.118309 -0.591545
306000 20.267 0.267001 1.33501
307000 19.9949 -0.00507257 -0.0253629
308000 20.6663 0.666335 3.33168
309000 19.6186 -0.381419 -1.9071
310000 20.191 0.190986 0.954928
311000 20.1606 0.160646 0.80323
312000 19.8074 -0.192632 -0.963162
313000 20.2755 0.275537 1.37769
314000 19.7362 -0.263806 -1.31903
315000 21.296 1.29602 6.4801
316000 19.3344 -0.665622 -3.32811
317000 20.2975 0.297478 1.48739
318000 19.8097 -0.190258 -0.95129
319000 20.4688 0.468798 2.34399
320000 20.6728 0.6728 3.364
321000 19.7719 -0.228081 -1.1404
322000 20.0008 0.000816066 0.00408033
323000 19.949 -0.0510389 -0.255194
324000 19.6767 -0.32325 -1.61625
325000 19.8557 -0.144296 -0.721482
326000 20.2945 0.294532 1.47266
327000 20.5512 0.551187 2.75594
328000 19.8019 -0.198076 -0.990381
329000 20.6456 0.645581 3.2279
330000 20.9701 0.970142 4.85071
331000 20.4143 0.414323 2.07161
332000 20.1634 0.163407 0.817037
333000 19.7704 -0.229615 -1.14808
334000 20.2 0.200017 1.00009
335000 20.622 0.62198 3.1099
336000 20.4144 0.414393 2.07196
337000 20.2921 0.292137 1.46069
338000 20.3677 0.367718 1.83859
339000 19.7878 -0.212202 -1.06101
340000 20.1345 0.134509 0.672544
341000 19.3485 -0.651512 -3.25756
342000 21.0891 1.08913 5.44565
343000 21.2505 1.25052 6.2526
344000 19.9819 -0.0180935 -0.0904676
345000 20.0675 0.0675229 0.337615
346000 20.3568 0.35677 1.78385
347000 20.4662 0.46616 2.3308
348000 19.733 -0.267027 -1.33514
349000 20.51 0.510036 2.55018
350000 21.3295 1.32949 6.64744
351000 20.6183 0.618263 3.09131
352000 20.1861 0.186122 0.930612
353000 19.922 -0.0779661 -0.389831
354000 20.6664 0.666397 3.33199
355000 20.6384 0.63844 3.1922
356000 20.0916 0.0916266 0.458133
357000 20.1786 0.178635 0.893177
358000 20.4077 0.407722 2.03861
359000 19.9962 -0.00380373 -0.0190187
360000 20.2413 0.241345 1.20673
361000 20.4584 0.45836 2.2918
362000 20.8383 0.83826 4.1913
363000 19.4977 -0.502317 -2.51159
364000 20.2157 0.215708 1.07854
365000 19.8332 -0.166811 -0.834055
366000 21.2988 1.29885 6.49425
367000 19.9979 -0.00213864 -0.0106932
368000 20.0307 0.0307239 0.15362
369000 20.5534 0.553357 2.76679
370000 20.685 0.684963 3.42481
371000 20.4185 0.418488 2.09244
372000 20.9812 0.981222 4.90611
373000 19.9142 -0.0858312 -0.429156
374000 20.628 0.627987 3.13993
375000 19.7374 -0.262633 -1.31316
376000 21.0757 1.07565 5.37827
377000 20.1328 0.132839 0.664195
378000 20.5015 0.501481 2.5074
379000 20.3236 0.32355 1.61775
380000 20.5078 0.507843 2.53922
381000 20.4035 0.403498 2.01749
382000 20.1857 0.18574 0.928702
383000 20.5672 0.567177 2.83588
384000 19.6999 -0.300121 -1.50061
385000 20.677 0.677017 3.38509
386000 19.5912 -0.408803 -2.04402
387000 19.7235 -0.276479 -1.3824
388000 20.4235 0.423538 2.11769
389000 19.9786 -0.0214093 -0.107046
390000 20.4192 0.419162 2.09581
391000 20.8644 0.864357 4.32178
392000 20.6399 0.639915 3.19958
393000 20.0893 0.0892889 0.446445
394000 21.2583 1.25834 6.29169
395000 20.7781 0.778067 3.89034
396000 20.0768 0.0767839 0.38392
397000 20.0689 0.0689388 0.344694
398000 20.9102 0.910192 4.55096
399000 20.5774 0.577436 2.88718
400000 20.0628 0.0627567 0.313783
401000 19.1289 -0.871081 -4.3554
402000 19.2003 -0.799672 -3.99836
403000 20.3183 0.318335 1.59167
404000 20.0309 0.0309446 0.154723
405000 19.57 -0.43004 -2.1502
406000 20.0919 0.0918554 0.459277
407000 20.48 0.480019 2.4001
408000 20.0586 0.0585727 0.292864
409000 20.0772 0.0771897 0.385949
410000 20.4787 0.478658 2.39329
411000 20.2207 0.220718 1.10359
412000 19.353 -0.646992 -3.23496
413000 19.9279 -0.0720849 -0.360424
414000 20.145 0.144966 0.724832
415000 20.0701 0.0701447 0.350723
416000 20.4109 0.410922 2.05461
417000 20.6036 0.603595 3.01797
418000 20.0857 0.0856887 0.428443
419000 20.731 0.730976 3.65488
420000 20.7403 0.74028 3.7014
421000 20.4534 0.453446 2.26723
422000 19.8862 -0.113791 -0.568957
423000 20.199 0.198973 0.994867
424000 19.4387 -0.561343 -2.80671
425000 20.0865 0.0864988 0.432494
426000 20.7323 0.732337 3.66168
427000 20.0113 0.0113387 0.0566937
428000 19.5808 -0.419154 -2.09577
429000 20.5088 0.508792 2.54396
430000 20.419 0.419031 2.09516
431000 20.861 0.861035 4.30517
432000 20.1913 0.191301 0.956505
433000 20.1717 0.171713 0.858565
434000 20.2023 0.202294 1.01147
435000 20.0064 0.00644124 0.0322062
436000 20.3726 0.372624 1.86312
437000 19.7045 -0.295474 -1.47737
438000 20.5503 0.550296 2.75148
439000 20.2037 0.203684 1.01842
440000 20.9024 0.902413 4.51206
441000 20.7257 0.72567 3.62835
442000 20.9788 0.97884 4.8942
443000 19.9196 -0.0804097 -0.402049
444000 20.0472 0.0471528 0.235764
445000 20.6782 0.678175 3.39087
446000 19.9972 -0.00278188 -0.0139094
447000 20.4621 0.462122 2.31061
448000 20.8023 0.802297 4.01148
449000 20.6545 0.654542 3.27271
450000 20.4414 0.441365 2.20683
451000 19.4902 -0.509799 -2.549
452000 20.2092 0.209164 1.04582
453000 19.3348 -0.66524 -3.3262
454000 20.2812 0.281213 1.40607
455000 19.8029 -0.197057 -0.985286
456000 20.1129 0.11287 0.564349
457000 20.4741 0.47413 2.37065
458000 20.1199 0.119898 0.599492
459000 20.3146 0.314589 1.57295
460000 20.5617 0.561652 2.80826
461000 19.8774 -0.122578 -0.612892
462000 20.5 0.499998 2.49999
463000 20.4215 0.421472 2.10736
464000 20.8042 0.804175 4.02087
465000 20.0469 0.0468782 0.234391
466000 19.5453 -0.454674 -2.27337
467000 20.7383 0.738254 3.69127
468000 20.395 0.39504 1.9752
469000 20.0562 0.0562488 0.281244
470000 20.8502 0.850167 4.25083
471000 20.3298 0.329764 1.64882
472000 20.0027 0.00267181 0.0133591
473000 19.8373 -0.162661 -0.813307
474000 19.9078 -0.0921682 -0.460841
475000 20.3866 0.386639 1.9332
476000 20.2148 0.214768 1.07384
477000 20.3733 0.3733 1.8665
478000 19.9246 -0.0753629 -0.376814
479000 20.5759 0.575926 2.87963
480000 20.1842 0.18419 0.920951
481000 19.8601 -0.139899 -0.699497
482000 21.2709 1.27094 6.35468
483000 20.0245 0.0244893 0.122446
484000 19.5427 -0.457336 -2.28668
485000 20.2281 0.228067 1.14033
486000 20.8174 0.817394 4.08697
487000 20.1087 0.108717 0.543584
488000 20.7024 0.702447 3.51224
489000 19.7684 -0.231571 -1.15786
490000 20.4757 0.475652 2.37826
491000 19.9349 -0.0651315 -0.325658
492000 19.8544 -0.14564 -0.728201
493000 20.8054 0.805373 4.02687
494000 20.9991 0.999148 4.99574
495000 20.551 0.550961 2.7548
496000 19.7863 -0.21373 -1.06865
497000 19.586 -0.413997 -2.06998
498000 19.538 -0.462013 -2.31007
499000 20.431 0.430962 2.15481
500000 19.7704 -0.229643 -1.14822
501000 20.9099 0.909942 4.54971
502000 20.1009 0.10093 0.504651
503000 19.9581 -0.0419194 -0.209597
504000 19.3976 -0.60245 -3.01225
505000 19.7089 -0.29107 -1.45535
506000 20.7521 0.75208 3.7604
507000 20.6159 0.615938 3.07969
508000 20.141 0.141017 0.705086
509000 20.1017 0.101652 0.508258
510000 20.494 0.493965 2.46982
511000 19.5027 -0.497291 -2.48645
512000 20.2917 0.291699 1.4585
513000 19.6553 -0.344667 -1.72334
514000 19.6868 -0.313197 -1.56598
515000 20.8573 0.857264 4.28632
516000 20.3219 0.321899 1.60949
517000 20.9592 0.959242 4.79621
518000 19.5064 -0.493599 -2.46799
519000 20.356 0.356043 1.78022
520000 20.6706 0.670627 3.35313
521000 20.5467 0.546737 2.73368
522000 19.674 -0.325956 -1.62978
523000 19.8381 -0.161933 -0.809665
524000 20.8349 0.834852 4.17426
525000 21.2931 1.29307 6.46534
526000 21.0314 1.0314 5.15698
527000 19.5415 -0.458507 -2.29254
528000 19.9999 -0.000131966 -0.000659828
529000 20.2315 0.231462 1.15731
530000 20.4598 0.459845 2.29923
531000 20.4202 0.420219 2.10109
532000 20.0609 0.0608664 0.304332
533000 20.7538 0.753802 3.76901
534000 20.0991 0.0991215 0.495608
535000 19.4447 -0.555278 -2.77639
536000 20.5042 0.504193 2.52096
