# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.72968 24.3487
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 72 4.13793e-06
5 0.9 17098 0.000982644
6 1.1 48215 0.00277098
7 1.3 57758 0.00331943
8 1.5 70110 0.00402931
9 1.7 89326 0.00513368
10 1.9 116516 0.00669632
11 2.1 152314 0.00875368
12 2.3 205364 0.0118025
13 2.5 284885 0.0163727
14 2.7 242662 0.0139461
15 2.9 212306 0.0122015
16 3.1 232409 0.0133568
17 3.3 250575 0.0144009
18 3.5 248964 0.0143083
19 3.7 231810 0.0133224
20 3.9 236618 0.0135987
21 4.1 244180 0.0140333
22 4.3 244668 0.0140614
23 4.5 239347 0.0137556
24 4.7 239927 0.0137889
25 4.9 242881 0.0139587
26 5.1 242781 0.0139529
27 5.3 241912 0.013903
28 5.5 241197 0.0138619
29 5.7 240538 0.013824
30 5.9 240619 0.0138287
31 6.1 240257 0.0138079
32 6.3 239522 0.0137656
33 6.5 239537 0.0137665
34 6.7 238332 0.0136972
35 6.9 238551 0.0137098
36 7.1 237790 0.0136661
37 7.3 237346 0.0136406
38 7.5 238288 0.0136947
39 7.7 236462 0.0135898
40 7.9 236259 0.0135781
41 8.1 235721 0.0135472
42 8.3 234497 0.0134768
43 8.5 234282 0.0134645
44 8.7 233993 0.0134479
45 8.9 233256 0.0134055
46 9.1 230966 0.0132739
47 9.3 231502 0.0133047
48 9.5 230227 0.0132314
49 9.7 229468 0.0131878
50 9.9 228163 0.0131128
51 10.1 228138 0.0131114
52 10.3 226820 0.0130356
53 10.5 224690 0.0129132
54 10.7 224130 0.012881
55 10.9 223178 0.0128263
56 11.1 219505 0.0126152
57 11.3 217826 0.0125187
58 11.5 215224 0.0123692
59 11.7 212605 0.0122187
60 11.9 209883 0.0120622
61 12.1 207439 0.0119218
62 12.3 204192 0.0117352
63 12.5 201664 0.0115899
64 12.7 198866 0.0114291
65 12.9 196158 0.0112734
66 13.1 193570 0.0111247
67 13.3 191097 0.0109826
68 13.5 189780 0.0109069
69 13.7 186649 0.010727
70 13.9 183749 0.0105603
71 14.1 181997 0.0104596
72 14.3 178713 0.0102709
73 14.5 176555 0.0101468
74 14.7 172775 0.0099296
75 14.9 171480 0.00985517
76 15.1 167646 0.00963483
77 15.3 164983 0.00948178
78 15.5 161350 0.00927299
79 15.7 157981 0.00907937
80 15.9 153874 0.00884333
81 16.1 148800 0.00855172
82 16.3 144829 0.00832351
83 16.5 139343 0.00800822
84 16.7 133519 0.00767351
85 16.9 126209 0.00725339
86 17.1 120527 0.00692684
87 17.3 112798 0.00648264
88 17.5 105073 0.00603868
89 17.7 97251 0.00558914
90 17.9 88888 0.00510851
91 18.1 80322 0.00461621
92 18.3 72271 0.00415351
93 18.5 63849 0.00366948
94 18.7 55805 0.00320718
95 18.9 48404 0.00278184
96 19.1 41039 0.00235856
97 19.3 34423 0.00197833
98 19.5 28258 0.00162402
99 19.7 22898 0.00131598
100 19.9 18476 0.00106184
101 20.1 14349 0.000824655
102 20.3 11222 0.000644943
103 20.5 8233 0.000473161
104 20.7 6286 0.000361264
105 20.9 4659 0.000267759
106 21.1 3201 0.000183966
107 21.3 2397 0.000137759
108 21.5 1586 9.11494e-05
109 21.7 1100 6.32184e-05
110 21.9 752 4.32184e-05
111 22.1 458 2.63218e-05
112 22.3 289 1.66092e-05
113 22.5 179 1.02874e-05
114 22.7 132 7.58621e-06
115 22.9 89 5.11494e-06
116 23.1 42 2.41379e-06
117 23.3 26 1.49425e-06
118 23.5 9 5.17241e-07
119 23.7 11 6.32184e-07
120 23.9 4 2.29885e-07
121 24.1 4 2.29885e-07
122 24.3 2 1.14943e-07
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
