# Time-averaged data for fix 4
# TimeStep c_1 v_dist v_fz
175000 12.6517 -0.348327 -1.74163
176000 13.3613 0.361343 1.80671
177000 13.3993 0.399262 1.99631
178000 13.5863 0.586297 2.93148
179000 12.8334 -0.166634 -0.83317
180000 13.4174 0.417409 2.08705
181000 13.5568 0.556811 2.78406
182000 14 0.999982 4.99991
183000 13.4624 0.462419 2.31209
184000 14.4755 1.47548 7.3774
185000 13.9073 0.907334 4.53667
186000 14.0086 1.00861 5.04303
187000 13.377 0.376975 1.88488
188000 13.428 0.428045 2.14022
189000 13.6451 0.645059 3.22529
190000 13.8659 0.865902 4.32951
191000 14.0888 1.08878 5.4439
192000 14.1232 1.12324 5.61622
193000 13.9009 0.900949 4.50475
194000 13.4953 0.495302 2.47651
195000 14.0323 1.03227 5.16134
196000 13.3521 0.352141 1.76071
197000 14.6028 1.60276 8.01378
198000 14.3006 1.30056 6.50282
199000 13.9678 0.967818 4.83909
200000 14.8351 1.83509 9.17543
201000 14.2973 1.29727 6.48636
202000 14.2801 1.28013 6.40063
203000 14.9975 1.99752 9.98759
204000 14.3432 1.34319 6.71597
205000 14.4997 1.49968 7.49839
206000 14.6259 1.62587 8.12934
207000 14.3336 1.33357 6.66786
208000 13.8992 0.899179 4.4959
209000 14.1947 1.19471 5.97356
210000 14.7013 1.70135 8.50673
211000 13.8991 0.899053 4.49527
212000 13.5219 0.521881 2.6094
213000 13.5752 0.575187 2.87593
214000 13.7121 0.712053 3.56027
215000 14.0068 1.00681 5.03405
216000 14.7488 1.74883 8.74416
217000 14.5957 1.59575 7.97873
218000 13.5772 0.577183 2.88591
219000 14.6711 1.67106 8.35532
220000 14.1985 1.19851 5.99255
221000 13.7324 0.732357 3.66178
222000 14.1926 1.19258 5.96292
223000 13.505 0.505033 2.52516
224000 13.9224 0.922437 4.61219
225000 14.3003 1.30033 6.50165
226000 14.1028 1.10281 5.51403
227000 15.1316 2.13157 10.6579
228000 15.3563 2.35632 11.7816
229000 14.3419 1.34191 6.70954
230000 14.4028 1.40285 7.01425
231000 13.919 0.91903 4.59515
232000 14.9571 1.9571 9.78552
233000 15.1305 2.13055 10.6527
234000 14.1867 1.18668 5.93339
235000 14.3531 1.35307 6.76534
236000 14.6493 1.64926 8.24629
237000 14.6468 1.64679 8.23396
238000 14.1558 1.15583 5.77916
239000 12.9484 -0.0515773 -0.257887
240000 12.5537 -0.446348 -2.23174
241000 13.0384 0.0384029 0.192014
242000 13.7103 0.710303 3.55152
243000 14.1501 1.15006 5.75031
244000 14.3245 1.32449 6.62247
245000 14.1678 1.16779 5.83897
246000 13.4933 0.493317 2.46658
247000 14.4935 1.49351 7.46756
248000 14.0767 1.07669 5.38347
249000 13.9517 0.951717 4.75859
250000 14.2559 1.25593 6.27963
251000 13.7043 0.704286 3.52143
252000 12.4009 -0.599082 -2.99541
253000 12.3727 -0.627273 -3.13637
254000 12.191 -0.809011 -4.04506
255000 13.5909 0.590859 2.95429
256000 13.2454 0.245364 1.22682
257000 14.156 1.15599 5.77994
258000 13.6593 0.659254 3.29627
259000 13.3992 0.399152 1.99576
260000 13.748 0.747979 3.73989
261000 14.0477 1.04765 5.23826
262000 13.668 0.667999 3.33999
263000 13.8776 0.877555 4.38777
264000 13.5448 0.544836 2.72418
265000 13.2003 0.200327 1.00164
266000 13.0121 0.0121166 0.0605831
267000 13.1667 0.166747 0.833734
268000 12.9417 -0.0582642 -0.291321
269000 13.4058 0.405765 2.02883
270000 14.325 1.32503 6.62514
271000 13.7385 0.738465 3.69233
272000 13.4011 0.401074 2.00537
273000 13.4867 0.486664 2.43332
274000 14.317 1.31698 6.58488
275000 13.7277 0.727659 3.63829
276000 14.4914 1.49137 7.45685
277000 14.1475 1.14752 5.7376
278000 14.0938 1.09382 5.46911
279000 14.5497 1.54973 7.74864
280000 13.7403 0.740286 3.70143
281000 14.1937 1.19371 5.96856
282000 13.808 0.807972 4.03986
283000 14.033 1.03305 5.16523
284000 14.377 1.377 6.88499
285000 13.7671 0.76709 3.83545
286000 13.7156 0.715611 3.57805
287000 13.871 0.870994 4.35497
288000 13.425 0.425049 2.12525
289000 13.0906 0.0906117 0.453059
290000 13.6206 0.620554 3.10277
291000 12.7022 -0.2978 -1.489
292000 13.1584 0.158404 0.792018
293000 13.5177 0.517726 2.58863
294000 13.9258 0.925805 4.62902
295000 13.2312 0.231208 1.15604
296000 12.9949 -0.00506452 -0.0253226
297000 13.2776 0.277637 1.38818
298000 13.1271 0.127057 0.635286
299000 13.5395 0.539478 2.69739
300000 12.8201 -0.179909 -0.899547
301000 13.3303 0.330257 1.65128
302000 13.105 0.104987 0.524937
303000 13.4224 0.422407 2.11204
304000 13.435 0.435011 2.17506
305000 13.0007 0.000738368 0.00369184
306000 13.4067 0.406712 2.03356
307000 13.2727 0.272658 1.36329
308000 13.2594 0.259431 1.29715
309000 13.6113 0.611259 3.05629
310000 13.7489 0.74886 3.7443
311000 14.185 1.18503 5.92514
312000 14.2653 1.26529 6.32646
313000 14.2791 1.27913 6.39565
314000 13.797 0.797024 3.98512
315000 13.8835 0.883529 4.41764
316000 14.5017 1.50167 7.50833
317000 14.5659 1.56592 7.8296
318000 13.5665 0.566514 2.83257
319000 14.1859 1.18594 5.92972
320000 14.3266 1.32659 6.63297
321000 15.1861 2.18607 10.9303
322000 14.5787 1.57873 7.89366
323000 14.0625 1.06253 5.31263
324000 14.1878 1.18781 5.93907
325000 13.923 0.923049 4.61525
326000 14.337 1.33699 6.68497
327000 13.071 0.0709753 0.354877
328000 14.005 1.00497 5.02484
329000 13.3476 0.347571 1.73786
330000 13.4068 0.406823 2.03411
331000 13.1939 0.193914 0.969572
332000 14.1898 1.18981 5.94904
333000 13.3313 0.331308 1.65654
334000 13.6748 0.674787 3.37393
335000 12.9487 -0.0513466 -0.256733
336000 13.1767 0.176714 0.883568
337000 12.9716 -0.0283962 -0.141981
338000 12.6669 -0.33315 -1.66575
339000 13.8244 0.824353 4.12176
340000 13.1706 0.170573 0.852864
341000 13.0658 0.0657614 0.328807
342000 14.3459 1.34587 6.72937
343000 13.3593 0.359323 1.79662
344000 12.973 -0.0270446 -0.135223
345000 14.54 1.53999 7.69993
346000 13.866 0.866012 4.33006
347000 14.4182 1.41823 7.09114
348000 13.3366 0.336599 1.68299
349000 13.813 0.81298 4.0649
350000 14.4427 1.44271 7.21354
351000 14.0109 1.01092 5.05459
352000 12.9382 -0.0618301 -0.30915
353000 12.2027 -0.797325 -3.98662
354000 13.0574 0.0574182 0.287091
355000 14.2936 1.29362 6.46811
356000 13.5852 0.585243 2.92622
357000 14.9925 1.99249 9.96243
358000 14.1533 1.15327 5.76637
359000 13.2991 0.299099 1.4955
360000 13.6018 0.601845 3.00922
361000 13.4673 0.467288 2.33644
362000 12.9741 -0.0258608 -0.129304
363000 12.7177 -0.282324 -1.41162
364000 13.731 0.731012 3.65506
365000 13.2586 0.258573 1.29287
366000 13.2448 0.244788 1.22394
367000 12.8869 -0.113138 -0.565692
368000 12.2974 -0.702616 -3.51308
369000 12.7072 -0.292828 -1.46414
370000 13.3425 0.342533 1.71266
371000 13.5516 0.551565 2.75782
372000 13.7922 0.79223 3.96115
373000 13.6352 0.635183 3.17591
374000 13.7659 0.765901 3.82951
375000 13.8824 0.882397 4.41198
376000 13.3745 0.374477 1.87238
377000 13.024 0.0239855 0.119927
378000 12.7471 -0.252948 -1.26474
379000 14.0055 1.00551 5.02755
380000 14.3735 1.37346 6.86732
381000 13.4002 0.400183 2.00092
382000 14.2517 1.25169 6.25845
383000 13.5339 0.533889 2.66945
384000 13.6534 0.653383 3.26691
385000 14.1255 1.12548 5.62741
386000 13.6194 0.619434 3.09717
387000 12.8798 -0.120214 -0.601072
388000 13.1918 0.191776 0.958878
389000 13.3313 0.331276 1.65638
390000 13.1151 0.115064 0.575319
391000 13.3998 0.399786 1.99893
392000 13.3601 0.360097 1.80048
393000 12.6578 -0.342151 -1.71076
394000 12.6604 -0.339611 -1.69805
395000 13.6195 0.619539 3.09769
396000 12.9912 -0.00875916 -0.0437958
397000 14.8001 1.80008 9.0004
398000 14.3529 1.35288 6.7644
399000 13.9998 0.999773 4.99887
400000 13.8427 0.842718 4.21359
401000 14.3881 1.38812 6.9406
402000 13.4085 0.408532 2.04266
403000 13.5666 0.566583 2.83291
404000 13.9442 0.944156 4.72078
405000 13.6799 0.679885 3.39942
406000 13.3971 0.397143 1.98572
407000 13.0724 0.0723705 0.361852
408000 12.9203 -0.0797019 -0.398509
409000 13.6352 0.635197 3.17599
410000 12.8037 -0.196262 -0.981312
411000 14.4569 1.4569 7.28452
412000 14.1587 1.15875 5.79375
413000 13.5866 0.586599 2.93299
414000 14.3765 1.37649 6.88244
415000 14.6215 1.62151 8.10757
416000 14.2989 1.29892 6.49459
417000 14.6068 1.60678 8.0339
418000 13.8832 0.883156 4.41578
419000 14.2837 1.2837 6.41852
420000 14.3728 1.37279 6.86394
421000 14.4993 1.49928 7.49642
422000 13.7708 0.770842 3.85421
423000 12.9578 -0.0421606 -0.210803
424000 14.2966 1.29659 6.48297
425000 13.8017 0.801693 4.00847
426000 14.3652 1.36522 6.82612
427000 13.766 0.766 3.83
428000 14.04 1.04 5.19999
429000 13.8905 0.890497 4.45249
430000 15.0414 2.04135 10.2068
431000 13.9992 0.999168 4.99584
432000 13.3629 0.362853 1.81427
433000 14.3498 1.34978 6.74892
434000 13.8512 0.851224 4.25612
435000 13.6835 0.683543 3.41771
436000 14.2752 1.27515 6.37576
437000 14.0717 1.07167 5.35837
438000 14.0155 1.01554 5.07771
439000 13.9797 0.979654 4.89827
440000 14.0595 1.05949 5.29744
441000 14.0451 1.04506 5.22532
442000 13.7631 0.76307 3.81535
443000 13.6279 0.627921 3.13961
444000 13.8577 0.8577 4.2885
445000 14.1877 1.18775 5.93873
446000 14.0359 1.03587 5.17933
447000 14.1694 1.1694 5.84698
448000 13.977 0.977025 4.88512
449000 13.6702 0.670247 3.35124
450000 13.6201 0.620082 3.10041
451000 13.8958 0.895815 4.47907
452000 12.9736 -0.0264406 -0.132203
453000 12.9864 -0.0135709 -0.0678545
454000 13.3703 0.370262 1.85131
455000 13.9885 0.988532 4.94266
456000 13.5358 0.535786 2.67893
457000 13.02 0.0200359 0.10018
458000 14.0811 1.08106 5.40531
459000 12.5373 -0.46274 -2.3137
460000 12.8626 -0.137421 -0.687104
461000 12.2888 -0.711207 -3.55603
462000 12.4661 -0.533891 -2.66946
463000 13.151 0.151041 0.755207
464000 13.4927 0.492721 2.46361
465000 13.9105 0.910465 4.55233
466000 13.9348 0.934821 4.6741
467000 13.5499 0.549944 2.74972
468000 13.7848 0.784819 3.92409
469000 13.9772 0.977241 4.8862
470000 13.4193 0.419305 2.09652
471000 13.7829 0.782905 3.91452
472000 13.6657 0.665719 3.3286
473000 13.8924 0.89245 4.46225
474000 13.2064 0.206426 1.03213
475000 13.9972 0.997243 4.98622
476000 13.7415 0.741472 3.70736
477000 13.3996 0.399578 1.99789
478000 13.5639 0.563935 2.81968
479000 13.4003 0.400346 2.00173
480000 13.7657 0.765724 3.82862
481000 13.2721 0.272132 1.36066
482000 12.6141 -0.385894 -1.92947
483000 13.9958 0.995772 4.97886
484000 13.8121 0.812071 4.06035
485000 13.9659 0.965947 4.82974
486000 13.542 0.542014 2.71007
487000 14.1173 1.11728 5.58639
488000 13.8004 0.800399 4.00199
489000 13.7196 0.719557 3.59779
490000 12.7631 -0.23692 -1.1846
491000 13.8078 0.80777 4.03885
492000 13.9508 0.950799 4.754
493000 14.7608 1.76081 8.80406
494000 14.6573 1.65732 8.28658
495000 14.3506 1.35058 6.75289
496000 13.8773 0.877345 4.38672
497000 13.2327 0.232676 1.16338
498000 13.4047 0.40472 2.0236
499000 14.4924 1.49242 7.46212
500000 14.0181 1.01815 5.09073
501000 14.1761 1.17614 5.88072
502000 14.0446 1.04464 5.22319
503000 13.7084 0.708397 3.54199
504000 13.4954 0.495361 2.47681
505000 14.7474 1.74735 8.73676
506000 13.6494 0.64938 3.2469
507000 13.9083 0.908257 4.54129
508000 14.0211 1.02111 5.10555
509000 13.564 0.564022 2.82011
510000 14.1926 1.19264 5.96321
511000 13.5376 0.537569 2.68784
512000 13.345 0.345042 1.72521
513000 13.1235 0.123495 0.617475
514000 12.904 -0.0959683 -0.479842
515000 13.4527 0.452674 2.26337
