# Time-averaged data for fix 4
# TimeStep c_1[1] c_1[2] c_1[3] c_1[4]
16400 91.3685 94.3588 0 185.727
16500 91.5211 94.8692 0 186.39
16600 92.5333 94.641 0 187.174
16700 92.9178 95.9574 0 188.875
16800 92.84 97.4976 0 190.338
16900 93.4152 99.8579 0 193.273
17000 93.5852 102.657 0 196.243
17100 94.1165 104.731 0 198.848
17200 95.1341 106.925 0 202.059
17300 95.5025 109.44 0 204.942
17400 95.9747 111.918 0 207.893
17500 95.5862 113.802 0 209.389
17600 94.2708 114.263 0 208.534
17700 93.6036 113.579 0 207.182
17800 94.2369 112.228 0 206.465
17900 95.6746 112.084 0 207.759
18000 96.7916 112.862 0 209.653
18100 96.7276 113.603 0 210.331
18200 95.5807 113.759 0 209.34
18300 95.1308 114.235 0 209.366
18400 94.3921 115.143 0 209.535
18500 94.176 116.76 0 210.936
18600 94.2813 118.941 0 213.222
18700 94.8165 120.045 0 214.862
18800 96.0399 119.794 0 215.834
18900 96.3524 119.4 0 215.752
19000 96.277 119.556 0 215.833
19100 95.485 120.163 0 215.648
19200 96.1622 120.129 0 216.291
19300 96.7953 119.801 0 216.596
19400 97.8696 119.277 0 217.147
19500 97.9407 117.618 0 215.558
19600 99.1814 117.552 0 216.734
19700 99.8617 117.599 0 217.461
19800 100.641 117.051 0 217.692
19900 100.487 117.973 0 218.46
20000 100.329 117.67 0 217.999
20100 101.248 116.437 0 217.685
20200 102.837 115.488 0 218.325
20300 104.746 114.529 0 219.275
20400 106.217 114.252 0 220.469
20500 107.821 115.348 0 223.169
20600 108.686 116.135 0 224.82
20700 110.172 117.407 0 227.58
20800 109.881 117.815 0 227.696
20900 110.463 118.146 0 228.609
21000 111.588 118.141 0 229.729
21100 112.053 118.785 0 230.838
21200 112.164 119.748 0 231.912
21300 113.904 120.877 0 234.781
21400 115.507 122.023 0 237.53
21500 116.508 122.196 0 238.704
21600 116.212 122.261 0 238.473
21700 116.981 122.487 0 239.468
21800 117.81 123.294 0 241.104
21900 119.988 124.048 0 244.035
22000 123.228 122.969 0 246.196
22100 125.487 123.224 0 248.712
22200 128.06 122.664 0 250.725
22300 130.317 122.002 0 252.319
22400 130.088 120.201 0 250.289
22500 129.564 119.272 0 248.837
22600 129.677 117.469 0 247.146
22700 129.464 116.259 0 245.723
22800 128.343 116.523 0 244.866
22900 127.008 117.254 0 244.261
23000 125.954 118.374 0 244.329
23100 125.423 119.66 0 245.083
23200 124.66 119.996 0 244.655
23300 124.663 121.812 0 246.476
23400 125.012 124.548 0 249.561
23500 126.916 126.278 0 253.194
23600 127.72 127.504 0 255.223
23700 130.011 128.999 0 259.009
23800 132.444 129.498 0 261.942
23900 132.672 130.196 0 262.868
24000 133.555 129.739 0 263.295
24100 135.087 129.478 0 264.566
24200 136.3 129.406 0 265.706
24300 137.909 129.908 0 267.817
24400 138.484 129.952 0 268.435
24500 139.054 129.544 0 268.597
24600 139.898 129.679 0 269.577
24700 140.808 129.114 0 269.922
24800 139.73 130.302 0 270.032
24900 137.259 130.443 0 267.702
25000 136.2 129.545 0 265.745
25100 137.05 129.663 0 266.713
25200 138.11 130.211 0 268.322
25300 136.364 130.972 0 267.336
25400 135.643 132.964 0 268.607
25500 137.489 134.856 0 272.344
25600 139.877 137.689 0 277.566
25700 140.777 140.712 0 281.49
25800 141.296 142.157 0 283.453
25900 141.674 144.409 0 286.083
26000 142.627 146.368 0 288.996
26100 146.016 147.562 0 293.578
26200 149.507 149.651 0 299.157
26300 151.542 151.119 0 302.661
26400 154.34 151.351 0 305.691
26500 155.496 151.231 0 306.726
26600 157.35 150.666 0 308.015
26700 159.081 150.09 0 309.171
26800 157.781 149.31 0 307.091
26900 156.823 148.569 0 305.393
27000 157.677 148.113 0 305.789
27100 158.752 150.306 0 309.058
27200 159.878 151.298 0 311.176
27300 160.346 150.57 0 310.916
27400 160.194 149.431 0 309.625
27500 161.339 149.319 0 310.658
27600 164.459 151.062 0 315.521
27700 165.429 153.626 0 319.055
27800 165.711 154.854 0 320.565
27900 165.463 157.011 0 322.473
28000 164.441 159.72 0 324.161
28100 164.325 160.6 0 324.926
28200 165.516 162.388 0 327.904
28300 166.94 164.947 0 331.886
28400 167.451 166.767 0 334.218
28500 166.592 166.901 0 333.493
28600 168.362 166.513 0 334.874
28700 168.805 167.418 0 336.222
28800 168.288 168.789 0 337.078
28900 169.015 168.934 0 337.949
29000 169.423 171.242 0 340.666
29100 170.77 173.383 0 344.153
29200 173.227 175.057 0 348.284
29300 175.511 175.914 0 351.425
29400 177.985 176.01 0 353.995
29500 179.866 177.129 0 356.996
29600 179.418 179.307 0 358.725
29700 178.285 180.918 0 359.204
29800 177.524 182.628 0 360.152
29900 176.122 183.976 0 360.099
30000 177.032 185.52 0 362.553
30100 178.618 185.968 0 364.586
30200 180.996 188.097 0 369.092
30300 184.158 190.721 0 374.879
30400 186.852 193.197 0 380.049
30500 189.721 194.019 0 383.74
30600 190.784 194.376 0 385.161
30700 191.815 194.811 0 386.627
30800 190.953 195.757 0 386.71
30900 188.835 194.721 0 383.555
31000 186.041 193.552 0 379.593
31100 184.888 193.774 0 378.663
31200 184.909 193.588 0 378.498
31300 185.053 193.66 0 378.713
31400 185.875 194.78 0 380.656
31500 185.468 195.506 0 380.974
31600 185.315 193.84 0 379.155
31700 186.567 191.746 0 378.314
31800 188.383 191.616 0 379.999
31900 189.837 190.828 0 380.665
32000 190.631 190.991 0 381.622
32100 191.828 192.765 0 384.593
32200 191.185 194.435 0 385.62
32300 190.712 195.811 0 386.522
32400 189.223 196.949 0 386.172
32500 187.934 199.052 0 386.986
32600 187.32 201.378 0 388.698
32700 186.995 202.151 0 389.145
32800 188.899 203.122 0 392.021
32900 190.395 204.329 0 394.724
33000 191.424 205.684 0 397.107
33100 191.503 205.771 0 397.274
33200 192.416 206.443 0 398.859
33300 193.942 207.376 0 401.318
33400 193.732 208.406 0 402.138
33500 193.759 210.138 0 403.897
33600 196.498 210.08 0 406.578
33700 197.116 209.231 0 406.346
33800 196.481 207.13 0 403.611
33900 196.763 205.577 0 402.34
34000 197.502 206.524 0 404.026
34100 198.289 206.409 0 404.697
34200 200.874 206.278 0 407.153
34300 203.933 206.895 0 410.829
34400 206.711 207.312 0 414.023
34500 209.378 206.879 0 416.257
34600 211.341 207.321 0 418.662
34700 214.415 207.641 0 422.056
34800 217.24 211.02 0 428.26
34900 218.964 211.198 0 430.162
35000 220.61 210.065 0 430.675
35100 221.187 209.211 0 430.397
35200 221.635 210.54 0 432.175
35300 221.471 209.327 0 430.798
35400 220.76 207.943 0 428.703
35500 220.543 207.309 0 427.853
35600 220.973 208.663 0 429.636
35700 222.404 209.971 0 432.375
35800 222.759 211.895 0 434.654
35900 225 214.281 0 439.281
36000 226.635 215.634 0 442.269
36100 229.392 214.627 0 444.019
36200 233.18 214.23 0 447.411
36300 235.7 215.142 0 450.842
36400 238.354 215.685 0 454.038
36500 239.353 216.226 0 455.579
36600 240.227 217.917 0 458.144
36700 239.788 218.49 0 458.279
36800 240.646 220.672 0 461.318
36900 240.438 223.458 0 463.896
37000 241.017 226.135 0 467.153
37100 239.723 228.586 0 468.309
37200 238.205 230.268 0 468.473
37300 238.274 230.121 0 468.396
37400 239.186 229.1 0 468.286
37500 240.415 229.067 0 469.482
37600 240.556 230.618 0 471.174
37700 240.715 232.846 0 473.561
37800 240.115 236.972 0 477.086
37900 240.756 239.61 0 480.366
38000 242.814 240.048 0 482.862
38100 243.769 240.981 0 484.75
38200 244.849 241.385 0 486.234
38300 246.942 243.599 0 490.541
38400 248.122 245.511 0 493.633
38500 248.527 248.509 0 497.036
38600 248.609 249.696 0 498.304
38700 247.034 252.113 0 499.146
38800 246.934 253.715 0 500.649
38900 248.755 255.181 0 503.936
39000 248.799 255.317 0 504.116
39100 248.899 254.324 0 503.224
39200 249.157 255.276 0 504.432
39300 250.699 257.611 0 508.31
39400 251.109 261.285 0 512.394
39500 251.701 264.463 0 516.164
39600 252.052 266.179 0 518.231
39700 252.033 264.959 0 516.993
39800 250.48 264.206 0 514.686
39900 250.712 260.923 0 511.635
40000 250.129 258.302 0 508.431
40100 248.165 256.331 0 504.496
40200 245.987 255.468 0 501.455
40300 246.106 256.494 0 502.6
40400 247.355 256.109 0 503.464
40500 248.657 256.523 0 505.179
40600 248.044 257.593 0 505.637
40700 248.339 258.498 0 506.837
40800 252.068 259.899 0 511.967
40900 255.003 260.291 0 515.294
41000 255.528 259.633 0 515.161
41100 255.484 259.028 0 514.512
41200 255.356 256.83 0 512.186
41300 254.759 255.096 0 509.855
41400 253.679 256.243 0 509.922
41500 254.05 256.009 0 510.058
41600 255.061 253.13 0 508.191
41700 255.736 252.227 0 507.963
41800 257.741 254.783 0 512.524
41900 263.505 254.394 0 517.899
42000 267.028 256.019 0 523.047
42100 268.793 257.723 0 526.516
42200 269.738 260.345 0 530.083
42300 270.059 261.02 0 531.079
42400 272.083 259.923 0 532.007
42500 275.743 257.409 0 533.152
42600 279.254 258.338 0 537.592
42700 280.073 258.821 0 538.894
42800 279.78 259.568 0 539.349
42900 280.049 260.977 0 541.026
43000 281.528 263.134 0 544.662
43100 282.84 265.432 0 548.272
43200 282.675 264.429 0 547.103
43300 281.797 264.123 0 545.92
43400 281.082 265.057 0 546.14
43500 280.933 263.539 0 544.473
43600 282.652 264.26 0 546.911
43700 283.433 264.31 0 547.743
43800 285.057 263.834 0 548.891
43900 286.568 263.607 0 550.175
44000 288.777 264.911 0 553.688
44100 290.308 263.797 0 554.105
44200 290.565 262.404 0 552.969
44300 291.182 263.416 0 554.598
44400 290.618 263.326 0 553.945
44500 288.971 263.043 0 552.014
44600 286.936 261.276 0 548.212
44700 285.094 258.935 0 544.029
44800 287.021 259.049 0 546.071
44900 288.042 260.919 0 548.961
45000 287.896 262.316 0 550.211
45100 289.457 262.276 0 551.732
45200 292.571 260.578 0 553.149
45300 295.307 259.185 0 554.492
45400 296.538 258.894 0 555.432
45500 297.648 260.14 0 557.788
45600 298.226 262.173 0 560.399
45700 300.941 264.986 0 565.927
45800 302.649 266.01 0 568.659
45900 303.551 268.832 0 572.383
46000 305.565 270.949 0 576.514
46100 306.757 272.183 0 578.94
46200 306.385 271.795 0 578.18
46300 304.865 272.691 0 577.556
46400 304.435 275.578 0 580.013
46500 304.831 274.911 0 579.742
46600 305.176 272.978 0 578.155
46700 303.281 272.765 0 576.047
46800 302.891 273.982 0 576.873
46900 303.879 278.15 0 582.029
47000 303.558 281.702 0 585.26
47100 302.146 283.561 0 585.708
47200 300.217 284.151 0 584.369
47300 299.207 285.403 0 584.61
47400 297.03 286.279 0 583.31
47500 296.356 286.73 0 583.086
47600 295.739 288.764 0 584.502
47700 295.255 291.039 0 586.294
47800 296.284 290.618 0 586.902
47900 298.556 291.615 0 590.171
48000 302.425 293.199 0 595.624
48100 303.826 290.31 0 594.135
48200 302.449 290.424 0 592.873
48300 303.535 293.253 0 596.788
48400 303.449 294.002 0 597.451
48500 300.325 295.044 0 595.369
48600 298.196 296.086 0 594.282
48700 297.566 294.085 0 591.652
48800 295.091 293.034 0 588.125
48900 292.73 292.028 0 584.758
49000 291.935 290.643 0 582.578
49100 290.789 290.992 0 581.781
49200 289.095 292.949 0 582.044
49300 287.933 292.612 0 580.545
49400 285.697 290.882 0 576.579
49500 285.047 290.434 0 575.481
49600 286.012 292.948 0 578.96
49700 288.108 294.76 0 582.868
49800 289.544 294.444 0 583.988
49900 289.087 295.037 0 584.123
50000 291.336 297.152 0 588.488
50100 293.821 299.68 0 593.501
50200 295.018 299.44 0 594.458
50300 296.408 300.111 0 596.519
50400 296.359 302.052 0 598.411
50500 297.524 302.56 0 600.084
50600 296.955 303.095 0 600.049
50700 296.171 303.98 0 600.15
50800 297.63 305.304 0 602.934
50900 300.77 307.547 0 608.317
51000 301.467 309.567 0 611.034
51100 301.398 312.13 0 613.528
51200 300.414 313.392 0 613.806
51300 299.243 313.762 0 613.004
51400 298.377 315.395 0 613.772
51500 298.554 316.78 0 615.335
51600 298.798 317.89 0 616.687
51700 298.165 319.808 0 617.973
51800 299.891 318.5 0 618.391
51900 303.209 318.308 0 621.517
52000 304.238 317.717 0 621.955
52100 304.418 315.626 0 620.044
52200 303.516 313.655 0 617.171
52300 301.632 312.285 0 613.917
52400 300.562 313.223 0 613.785
52500 298.151 312.24 0 610.391
52600 296.803 312.862 0 609.665
52700 296.481 313.089 0 609.57
52800 298.101 311.673 0 609.774
52900 300.165 311.951 0 612.116
53000 303.176 311.237 0 614.413
53100 306.264 309.776 0 616.039
53200 308.349 307.149 0 615.499
53300 309.91 306.606 0 616.516
53400 311.001 307.363 0 618.364
53500 311.53 307.93 0 619.46
53600 313.541 306.848 0 620.389
53700 313.949 307.957 0 621.905
53800 311.788 310.139 0 621.928
53900 311.239 308.112 0 619.351
54000 312.413 306.895 0 619.308
54100 312.875 306.978 0 619.853
54200 313.142 307.213 0 620.355
54300 312.157 308.259 0 620.416
54400 312.602 310.132 0 622.734
54500 312.789 310.864 0 623.653
54600 312.58 311.929 0 624.508
54700 312.961 312.968 0 625.93
54800 310.989 315.534 0 626.522
54900 307.893 318.894 0 626.788
55000 304.027 319.663 0 623.69
55100 302.654 317.561 0 620.215
55200 303.237 316.181 0 619.418
55300 303.534 316.803 0 620.337
55400 302.132 317.5 0 619.632
55500 304.715 318.32 0 623.035
55600 306.79 319.811 0 626.601
55700 306.086 321.142 0 627.228
55800 305.362 320.733 0 626.094
55900 305.589 323.557 0 629.146
56000 307.861 326.877 0 634.738
56100 309.059 328.767 0 637.826
56200 308.872 331.279 0 640.151
56300 308.875 333.405 0 642.28
56400 308.191 334.401 0 642.592
56500 308.043 333.27 0 641.312
56600 309.212 330.663 0 639.875
56700 310.349 331.723 0 642.072
56800 313.42 334.528 0 647.948
56900 317.477 335.029 0 652.506
57000 320.62 335.457 0 656.077
57100 322.706 334.524 0 657.23
57200 325.653 335.44 0 661.093
57300 329.298 338.623 0 667.921
57400 329.731 342.119 0 671.851
57500 328.988 343.316 0 672.305
57600 329.095 345.283 0 674.378
57700 328.186 346.03 0 674.217
57800 326.483 343.755 0 670.238
57900 326.26 344.417 0 670.677
58000 325.218 346.448 0 671.666
58100 326.227 349.307 0 675.534
58200 326.437 350.147 0 676.585
58300 325.524 351.229 0 676.752
58400 326.446 352.929 0 679.375
58500 328.898 355.811 0 684.71
58600 330.239 354.543 0 684.781
58700 332.248 353.12 0 685.368
58800 334.424 353.675 0 688.099
58900 333.929 356.118 0 690.048
59000 334.302 356.516 0 690.817
59100 334.081 358.183 0 692.264
59200 333.978 359.221 0 693.198
59300 331.854 359.315 0 691.169
59400 331.622 358.887 0 690.509
59500 332.846 358.976 0 691.823
59600 332.973 357.259 0 690.232
59700 335.035 355.665 0 690.7
59800 335.957 355.195 0 691.153
59900 335.483 353.513 0 688.996
60000 335.625 354.959 0 690.584
60100 337.108 357.67 0 694.778
60200 338.327 360.734 0 699.061
60300 342.591 362.655 0 705.247
60400 344.367 366.132 0 710.499
60500 342.528 367.881 0 710.409
60600 342.292 366.499 0 708.791
60700 343.33 365.196 0 708.526
60800 343.804 364.548 0 708.352
60900 340.166 365.127 0 705.293
61000 336.481 366.525 0 703.006
61100 335.462 369.475 0 704.937
61200 337.244 372.686 0 709.93
61300 338.449 373.933 0 712.383
61400 338.852 374.798 0 713.65
61500 342.915 373.55 0 716.464
61600 348.519 374.961 0 723.48
61700 351.545 376.492 0 728.037
61800 352.531 380.098 0 732.629
61900 354.403 380.3 0 734.702
62000 354.948 380.538 0 735.486
62100 355.545 380.364 0 735.908
62200 354.827 380.998 0 735.825
62300 353.94 384.502 0 738.442
62400 354.288 388.745 0 743.033
62500 355.537 392.548 0 748.085
62600 356.342 395.132 0 751.474
62700 357.672 397.766 0 755.438
62800 359.004 398.314 0 757.318
62900 360.895 400.133 0 761.028
63000 362.53 402.939 0 765.469
63100 362.84 407.944 0 770.783
63200 363.908 413.903 0 777.811
63300 366.721 417.314 0 784.035
63400 368.743 417.864 0 786.607
63500 370.167 418.388 0 788.555
63600 372.091 420.169 0 792.26
63700 375.525 420.164 0 795.689
63800 378.469 418.425 0 796.894
63900 380.863 418.684 0 799.547
64000 381.414 420.702 0 802.115
64100 383.222 421.958 0 805.181
64200 384.728 420.458 0 805.186
64300 383.449 419.191 0 802.64
64400 384.208 418.903 0 803.111
64500 385.766 419.326 0 805.092
64600 386.136 419.376 0 805.512
64700 388.24 414.513 0 802.754
64800 390.896 411.334 0 802.23
64900 394.948 408.086 0 803.034
65000 398.747 404.666 0 803.413
65100 403.171 402.998 0 806.169
65200 407.186 402.859 0 810.045
65300 409.581 406.477 0 816.058
65400 410.976 410.949 0 821.925
65500 411.99 415.746 0 827.736
65600 413.018 419.464 0 832.482
65700 413.369 423.13 0 836.499
65800 414.193 426.179 0 840.372
65900 415.279 425.91 0 841.189
66000 416.801 425.185 0 841.985
66100 417.056 424.236 0 841.292
66200 418.544 421.441 0 839.985
66300 422.635 422.694 0 845.33
66400 426.07 423.787 0 849.856
66500 426.08 422.097 0 848.177
66600 424.667 422.952 0 847.618
66700 424.513 427.162 0 851.675
66800 422.519 427.879 0 850.399
66900 422.076 428.522 0 850.598
67000 424.269 429.432 0 853.702
67100 426.56 430.175 0 856.735
67200 427.906 433.204 0 861.11
67300 428.377 435.846 0 864.223
67400 426.801 439.107 0 865.908
67500 425.704 443.357 0 869.061
67600 422.976 447.818 0 870.794
67700 421.151 449.338 0 870.49
67800 419.798 448.809 0 868.607
67900 416.844 447.852 0 864.696
68000 415.514 450.453 0 865.967
68100 414.415 451.204 0 865.619
68200 414.936 453.184 0 868.12
68300 414.519 454.859 0 869.378
68400 416.427 457.433 0 873.86
68500 416.133 461.27 0 877.403
68600 417.964 462.309 0 880.273
68700 422.449 462.161 0 884.61
68800 429.228 464.003 0 893.232
68900 435.724 466.862 0 902.587
69000 440.789 469.931 0 910.72
69100 444.845 471.222 0 916.067
69200 444.053 472.198 0 916.252
69300 439.597 475.906 0 915.503
69400 434.904 479.545 0 914.449
69500 430.631 481.136 0 911.767
69600 428.897 480.357 0 909.254
69700 428.151 481.458 0 909.609
69800 428.152 485.198 0 913.35
69900 430.526 491.401 0 921.927
70000 433.952 496.89 0 930.842
70100 435.203 496.991 0 932.194
70200 437.494 492.523 0 930.017
70300 439.954 488.468 0 928.423
70400 440.757 488.756 0 929.513
70500 437.886 489.211 0 927.097
70600 436.865 487.121 0 923.986
70700 437.094 483.706 0 920.8
70800 436.876 482.047 0 918.923
70900 437.203 481.856 0 919.059
71000 437.791 480.702 0 918.492
71100 438.15 479.938 0 918.088
71200 440.16 484.69 0 924.85
71300 443.138 489.475 0 932.614
71400 441.272 492.069 0 933.34
71500 439.207 492.824 0 932.031
71600 438.238 492.221 0 930.459
71700 440.475 492.076 0 932.551
71800 446.082 493.952 0 940.034
71900 449.878 493.669 0 943.547
72000 449.625 491.559 0 941.183
72100 450.533 487.696 0 938.23
72200 452.124 484.697 0 936.821
72300 453.497 484.923 0 938.42
72400 458.25 484.532 0 942.782
72500 464.737 481.698 0 946.435
72600 468.072 479.777 0 947.849
72700 469.951 481.724 0 951.675
72800 471.843 484.675 0 956.518
