# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.754258 23.981
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 57 3.27586e-06
5 0.9 16745 0.000962356
6 1.1 47022 0.00270241
7 1.3 57778 0.00332057
8 1.5 69851 0.00401443
9 1.7 88586 0.00509115
10 1.9 116193 0.00667776
11 2.1 152158 0.00874471
12 2.3 204895 0.0117756
13 2.5 285051 0.0163822
14 2.7 241926 0.0139038
15 2.9 212642 0.0122208
16 3.1 232897 0.0133849
17 3.3 251392 0.0144478
18 3.5 247352 0.0142156
19 3.7 231622 0.0133116
20 3.9 237782 0.0136656
21 4.1 243934 0.0140192
22 4.3 243945 0.0140198
23 4.5 239687 0.0137751
24 4.7 239728 0.0137775
25 4.9 242514 0.0139376
26 5.1 242421 0.0139322
27 5.3 241256 0.0138653
28 5.5 240499 0.0138218
29 5.7 241192 0.0138616
30 5.9 241529 0.013881
31 6.1 241252 0.0138651
32 6.3 240085 0.013798
33 6.5 239825 0.013783
34 6.7 239913 0.0137881
35 6.9 239393 0.0137582
36 7.1 239008 0.0137361
37 7.3 237908 0.0136729
38 7.5 238441 0.0137035
39 7.7 236853 0.0136122
40 7.9 236796 0.013609
41 8.1 236133 0.0135709
42 8.3 236240 0.013577
43 8.5 234507 0.0134774
44 8.7 234810 0.0134948
45 8.9 233393 0.0134134
46 9.1 232459 0.0133597
47 9.3 231453 0.0133019
48 9.5 230143 0.0132266
49 9.7 228591 0.0131374
50 9.9 228032 0.0131053
51 10.1 225899 0.0129827
52 10.3 223224 0.012829
53 10.5 221363 0.012722
54 10.7 219220 0.0125989
55 10.9 216958 0.0124689
56 11.1 214578 0.0123321
57 11.3 211707 0.0121671
58 11.5 209523 0.0120416
59 11.7 208203 0.0119657
60 11.9 205344 0.0118014
61 12.1 203696 0.0117067
62 12.3 200544 0.0115255
63 12.5 199632 0.0114731
64 12.7 197729 0.0113637
65 12.9 194877 0.0111998
66 13.1 194441 0.0111748
67 13.3 192107 0.0110406
68 13.5 190530 0.01095
69 13.7 188358 0.0108252
70 13.9 186408 0.0107131
71 14.1 184007 0.0105751
72 14.3 183020 0.0105184
73 14.5 180746 0.0103877
74 14.7 177811 0.010219
75 14.9 174924 0.0100531
76 15.1 172068 0.00988897
77 15.3 167994 0.00965483
78 15.5 165568 0.0095154
79 15.7 161201 0.00926443
80 15.9 156132 0.0089731
81 16.1 151190 0.00868908
82 16.3 146778 0.00843552
83 16.5 140095 0.00805144
84 16.7 134618 0.00773667
85 16.9 127976 0.00735494
86 17.1 120486 0.00692448
87 17.3 113282 0.00651046
88 17.5 105283 0.00605075
89 17.7 97279 0.00559075
90 17.9 88980 0.00511379
91 18.1 80828 0.00464529
92 18.3 72138 0.00414586
93 18.5 64256 0.00369287
94 18.7 56503 0.0032473
95 18.9 47982 0.00275759
96 19.1 40956 0.00235379
97 19.3 34382 0.00197598
98 19.5 28168 0.00161885
99 19.7 23059 0.00132523
100 19.9 18390 0.0010569
101 20.1 14335 0.000823851
102 20.3 10892 0.000625977
103 20.5 8230 0.000472989
104 20.7 6222 0.000357586
105 20.9 4464 0.000256552
106 21.1 3113 0.000178908
107 21.3 2214 0.000127241
108 21.5 1588 9.12644e-05
109 21.7 954 5.48276e-05
110 21.9 621 3.56897e-05
111 22.1 416 2.3908e-05
112 22.3 264 1.51724e-05
113 22.5 164 9.42529e-06
114 22.7 89 5.11494e-06
115 22.9 48 2.75862e-06
116 23.1 29 1.66667e-06
117 23.3 12 6.89655e-07
118 23.5 6 3.44828e-07
119 23.7 4 2.29885e-07
120 23.9 5 2.87356e-07
121 24.1 0 0
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
